"id","day","N","vo2_mlkg","vo2_l","sd","min","max","CI","date","Time","o2_v","co2_v","wvp_v","fr_v","bp_v","temp","Marker","hour","minute","second","co2","fr","bp","wv","fr_c","vo2","id.y","weight","age","gender","place","species","moult","water_temp","dfi","vo2kg","vo2mlkg","month","year","days","d.stage","cohort","class","season"
"April","2014-03-07",1309,7.82684015151294,0.438303048484724,3.31322019049868,-1.60710681036036,17.0177745868153,0.179488466601954,2014-03-07,2017-03-22 09:10:45,0.2082958,0.012,3.418411,1.405412,4.245612,22.218,-1,9,10,45,2.4e-05,281.0824,101.894688,6.836822,262.222630429551,0.391014021881757,"April",56,7.898630137,"female","UWW","ASL","No",25,4.7,8.00448420286059,6.98239324788852,3,2014,"3.7","adult","ASFA","ASF","Early-year"
"April","2014-03-22",2910,8.66909372435876,0.502807436003436,3.49845885330569,-0.591203533,19.39112873,0.127111940060538,2014-03-22,2017-03-22 06:27:21,0.2080058,0.0182,3.251221,1.508382,4.248893,22.094,2,6,27,21,3.64e-05,301.6764,101.973432,1.741618702,296.524026,0.550649911,"April",58,7.939726027,"female","UWW","ASL","No",26.1,5,11.57301641,9.493963991,3,2014,"3.22","adult","ASFA","ASF","Early-year"
"April","2014-03-28",2174,8.722133468046,0.505883741139834,3.73822988404979,-1.599204364,20.18325434,0.157142010931787,2014-03-28,2017-03-22 09:08:07,0.2080475,0.00352,3.390442,1.4101,4.247331,21.624,2,9,8,7,7.04e-06,282.02,101.935944,1.764569956,277.1380712,0.500073686,"April",58,7.956164384,"female","UWW","ASL","No",26.1,3,10.51005521,8.621960103,3,2014,"3.28","adult","ASFA","ASF","Early-year"
"April","2014-11-08",757,7.14628055442414,0.428776833265448,3.52195053988032,-1.75791139408387,15.8706325659503,0.250894640561666,2014-11-08,2017-03-22 07:29:37,0.2087787,-0.00258,1.164783,1.500882,4.260924,22.446,-1,7,29,37,-5.16e-06,300.1764,102.262176,2.329566,293.338282889697,0.258563367677586,"April",60,8.57260274,"female","UWW","ASL","No",25.2,3.5,5.57417287257477,4.3093894612931,11,2014,"11.8","adult","ASFA","ASF","Late-year"
"April","2014-12-03",1544,7.83058018861434,0.462004231128246,2.95569682881546,-0.682858949568235,15.0767601710641,0.147432187376583,2014-12-03,2017-03-22 07:24:09,0.2075976,-0.00289,1.103533,1.501195,4.262643,22,-1,7,24,9,-5.78e-06,300.239,102.303432,2.207066,293.761726698221,0.696696226902469,"April",59,8.64109589,"female","UWW","ASL","No",26.7,4,14.831410906532,11.8084106254656,12,2014,"12.3","adult","ASFA","ASF","Late-year"
"April","2014-12-12",1296,7.98072072351375,0.486823964134339,2.92410177872933,-1.02067863134581,16.0120820881741,0.15920109684193,2014-12-12,2017-03-22 08:32:48,0.2082496,-0.0465,1.052438,1.496195,4.208736,20.8,-1,8,32,48,-9.3e-05,299.239,101.009664,2.104876,293.003349227377,0.453994924874841,"April",61,8.665753425,"female","UWW","ASL","No",25.4,4,9.90942315663098,7.44253975204657,12,2014,"12.12","adult","ASFA","ASF","Late-year"
"April","2015-03-26",1231,6.43241655850437,0.405242243185775,4.80796760426171,-4.03469959699077,17.3010209518297,0.268589219786405,2015-03-26,2017-03-22 06:38:45,0.2082254,0.0265,1.146189,1.505882,4.232174,22.453,-1,6,38,45,5.3e-05,301.1764,101.572176,2.292378,294.379162994078,0.465115849910784,"April",63,8.950684932,"female","UWW","ASL","No",26.7,4,10.4007953580826,7.38279126842515,3,2015,"3.26","adult","ASFA","ASF","Early-year"
"April","2015-03-27",1273,6.59499287251259,0.415484550968293,4.95454014275084,-3.5692330942583,19.0745659019434,0.272173113274071,2015-03-27,2017-03-22 06:54:07,0.2086987,0.00914,1.15744,1.503695,4.240612,22.29,-1,6,54,7,1.828e-05,300.739,101.774688,2.31488,293.898647943897,0.288755128949163,"April",63,8.953424658,"female","UWW","ASL","No",26.8,4,6.457064418194,4.58341474522481,3,2015,"3.27","adult","ASFA","ASF","Early-year"
"April","2015-03-28",854,8.33528756605372,0.525123116661384,4.32157843921748,-2.80107455936628,19.3325896119702,0.289847484841662,2015-03-28,2017-03-22 06:29:10,0.2075261,0.0193,1.217597,1.501351,4.23358,22.428,-1,6,29,10,3.86e-05,300.2702,101.60592,2.435194,293.073609590516,0.721469300046577,"April",63,8.956164384,"female","UWW","ASL","No",27,4,16.1333021619514,11.451893651533,3,2015,"3.28","adult","ASFA","ASF","Early-year"
"April","2015-08-28",1416,7.85754696130644,0.432165082871854,1.74726387928353,1.79875672482662,12.578021129127,0.0910087068802982,2015-08-28,2017-03-22 06:20:45,0.2083309,0.134924,0.9277486,1.502445,4.266081,17.883,-1,6,20,45,0.000269848,300.489,102.385944,1.8554972,295.043364824426,0.426885326631985,"April",55,9.375342466,"female","UWW","ASL","Yes",23,4.5,8.62150817101505,7.76155139330882,8,2015,"8.28","adult","ASFA","ASF","Mid-year"
