Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
13:35:00,0.65,0.164,-0.56,-0.06
13:35:01,0.65,0.72,-0.772,-0.464
13:35:02,0.65,0.908,-0.716,-0.588
13:35:03,0.65,0.9,-0.4,-0.136
13:35:04,0.65,0.728,-0.2,0.352
13:35:05,0.71,0.82,-0.184,0.168
13:35:06,0.78,0.836,-0.576,0.484
13:35:07,0.84,0.688,-0.556,0.424
13:35:08,0.87,0.668,-0.588,0.456
13:35:09,1.06,0.912,-0.124,0.248
13:35:10,1.25,1.084,0.084,0.256
13:35:11,1.21,0.932,0.12,0.08
13:35:12,1.03,1.024,-0.36,-0.112
13:35:13,0.84,0.944,-0.632,0.076
13:35:14,1,0.672,-0.852,0.02
13:35:15,1.12,0.596,-0.772,-0.064
13:35:16,1,0.764,-0.56,-0.068
13:35:17,0.96,0.832,-0.58,-0.092
13:35:18,0.96,0.632,-0.844,0.312
13:35:19,0.65,0.808,-0.908,0.236
13:35:20,0.65,0.66,-0.684,0.32
13:35:21,0.65,0.424,-0.344,0.316
13:35:22,0.78,0.436,-0.564,0.644
13:35:23,0.93,0.576,-0.972,0.52
13:35:24,0.65,0.544,-0.368,0.412
13:35:25,0.68,0.632,-0.572,0.292
13:35:26,0.78,0.564,-0.396,0.26
13:35:27,0.93,0.704,-0.696,0.452
13:35:28,0.96,0.424,-0.612,0.584
13:35:29,1.75,0.592,-0.836,0.512
13:35:30,1.78,0.344,-0.724,0.356
13:35:31,1.25,0.252,-0.748,0.32
13:35:32,1.21,0.396,-0.952,0.376
13:35:33,1.15,0.14,-0.82,0.668
13:35:34,0.93,0.192,-0.892,0.44
13:35:35,0.65,0.2,-0.64,0.484
13:35:36,0.65,0.432,-0.884,0.456
13:35:37,0.65,-0.176,-0.888,0.092
13:35:38,0.65,-0.684,-0.632,0.268
13:35:39,0.62,0.472,0.156,0.848
13:35:40,0.59,-0.08,-0.032,0.892
13:35:41,0.62,-0.016,0.004,0.972
13:35:42,0.65,-0.016,-0.004,0.98
13:35:43,0.68,-0.016,-0.004,0.984
13:35:44,0.68,-0.008,-0.004,0.972
13:35:45,0.71,-0.004,0.004,0.988
13:35:46,0.71,-0.004,-0.004,0.972
13:35:47,0.71,-0.028,0.004,0.968
13:35:48,0.71,-0.008,0,0.972
13:35:49,0.71,-0.004,0.004,0.972
13:35:50,0.71,-0.012,0.008,0.98
13:35:51,0.75,-0.008,0.008,0.992
13:35:52,0.71,-0.012,-0.004,0.976
13:35:53,0.75,-0.008,0.004,0.972
13:35:54,0.78,-0.036,0,0.976
13:35:55,0.78,-0.004,0.008,0.98
13:35:56,0.78,-0.004,0,0.968
13:35:57,0.78,-0.004,-0.004,0.972
13:35:58,0.78,-0.008,0,0.984
13:35:59,0.78,-0.008,-0.004,0.976
13:36:00,0.78,-0.008,0,0.976
13:36:01,0.78,-0.016,-0.004,0.972
13:36:02,0.78,-0.012,0,0.992
13:36:03,0.78,-0.012,0,0.984
13:36:04,0.78,-0.012,0.008,0.984
13:36:05,0.84,-0.008,0.004,0.976
13:36:06,0.84,-0.008,0,0.976
13:36:07,0.81,-0.012,0.008,0.976
13:36:08,0.84,-0.016,0.004,0.968
13:36:09,0.81,-0.008,0.004,0.968
13:36:10,0.81,-0.008,0,0.972
13:36:11,0.81,-0.016,0.004,0.968
13:36:12,0.81,0,-0.004,0.972
13:36:13,0.81,-0.016,-0.004,0.976
13:36:14,0.81,-0.004,0.004,0.98
13:36:15,0.81,-0.016,0.008,0.968
13:36:16,0.81,-0.024,0.004,0.98
13:36:17,0.81,-0.008,0,0.988
13:36:18,0.81,-0.004,0.008,0.988
13:36:19,0.84,0,0.004,0.988
13:36:20,0.84,0.04,0,0.984
13:36:21,0.84,-0.012,0.004,0.968
13:36:22,0.84,-0.024,0,0.968
13:36:23,0.84,-0.012,0.004,0.984
13:36:24,0.84,-0.02,-0.004,0.964
13:36:25,0.81,-0.008,0,0.96
13:36:26,0.84,-0.012,0.004,0.98
13:36:27,0.81,-0.02,0.004,0.968
13:36:28,0.84,-0.016,0.004,0.968
13:36:29,0.81,-0.024,-0.004,0.988
13:36:30,0.81,-0.02,0.016,0.98
13:36:31,0.81,-0.008,0.004,0.988
13:36:32,0.84,0,0,0.98
13:36:33,0.84,-0.004,0.008,0.98
13:36:34,0.87,-0.004,0,0.972
13:36:35,0.84,-0.016,0,0.984
13:36:36,0.87,-0.012,0,0.972
13:36:37,0.84,-0.02,0.008,0.988
13:36:38,0.84,-0.016,0.004,0.972
13:36:39,0.84,-0.012,0.008,0.98
13:36:40,0.84,-0.02,0.004,0.976
13:36:41,0.84,-0.012,0.004,0.98
13:36:42,0.84,-0.004,0.008,0.984
13:36:43,0.84,-0.016,0.004,0.988
13:36:44,0.84,-0.02,0,0.976
13:36:45,0.84,-0.02,0.004,0.972
13:36:46,0.84,-0.012,0.004,0.968
13:36:47,0.81,-0.008,0,0.98
13:36:48,0.81,-0.012,0,0.972
13:36:49,0.84,-0.02,0.004,0.988
13:36:50,0.81,-0.008,0,0.98
13:36:51,0.87,-0.016,0.004,0.98
13:36:52,0.87,-0.02,0.008,0.976
13:36:53,0.84,-0.008,-0.004,0.984
13:36:54,0.84,-0.008,0.004,0.976
13:36:55,0.84,-0.016,0.004,0.968
13:36:56,0.84,-0.024,0.004,0.984
13:36:57,0.84,-0.016,0.004,0.976
13:36:58,0.84,-0.004,0,0.968
13:36:59,0.81,-0.016,0,0.976
13:37:00,0.84,-0.016,0.008,0.968
13:37:01,0.81,-0.004,0.004,0.992
13:37:02,0.81,-0.012,0.004,0.976
13:37:03,0.81,-0.02,0.004,0.98
13:37:04,0.81,-0.02,0,0.992
13:37:05,0.81,-0.016,0,0.972
13:37:06,0.81,-0.016,-0.004,0.984
13:37:07,0.81,-0.016,0.004,0.98
13:37:08,0.81,-0.008,0,0.98
13:37:09,0.81,-0.008,0.008,0.98
13:37:10,0.81,-0.012,-0.004,0.98
13:37:11,0.87,-0.016,0.008,0.984
13:37:12,0.87,-0.016,0.004,0.98
13:37:13,0.87,-0.016,0,0.98
13:37:14,0.87,-0.012,0,0.976
13:37:15,0.87,-0.02,0.004,0.98
13:37:16,0.84,-0.02,0.012,0.98
13:37:17,0.84,-0.02,0.012,0.972
13:37:18,0.84,-0.008,0.008,0.988
13:37:19,0.87,-0.02,0.004,0.988
13:37:20,0.87,-0.004,0.008,0.968
13:37:21,0.84,-0.016,0,0.984
13:37:22,0.84,-0.012,0.004,0.992
13:37:23,0.87,-0.012,0.008,0.992
13:37:24,0.84,-0.016,0.004,1
13:37:25,0.84,-0.012,0,0.984
13:37:26,0.87,-0.016,0,0.972
13:37:27,0.87,-0.012,0.004,0.992
13:37:28,0.84,-0.012,0.004,0.984
13:37:29,0.87,-0.004,0.004,0.984
13:37:30,0.84,-0.012,0.004,0.972
13:37:31,0.84,-0.008,0.008,0.984
13:37:32,0.84,-0.008,0.008,0.98
13:37:33,0.84,-0.012,0.004,0.972
13:37:34,0.84,-0.008,0,0.996
13:37:35,0.84,-0.012,0.008,0.984
13:37:36,0.84,-0.012,0.008,0.992
13:37:37,0.84,-0.012,0.004,0.984
13:37:38,0.81,-0.008,0.008,0.98
13:37:39,0.84,-0.012,0.004,0.984
13:37:40,0.81,-0.02,0.004,0.98
13:37:41,0.84,-0.012,0.008,0.964
13:37:42,0.84,-0.028,0.004,0.98
13:37:43,0.84,-0.024,0.008,0.968
13:37:44,0.81,-0.02,0,0.972
13:37:45,0.84,-0.02,0.004,0.984
13:37:46,0.84,-0.02,0.004,0.984
13:37:47,0.81,-0.024,0,0.988
13:37:48,0.81,-0.008,0.004,0.98
13:37:49,0.81,-0.012,0.004,0.972
13:37:50,0.81,-0.016,0,0.972
13:37:51,0.81,-0.012,-0.004,0.984
13:37:52,0.81,-0.012,0.004,0.984
13:37:53,0.81,-0.008,0.004,0.98
13:37:54,0.81,-0.016,0.004,0.976
13:37:55,0.78,-0.012,0.008,0.98
13:37:56,0.81,-0.012,0.004,0.98
13:37:57,0.81,-0.02,0,0.976
13:37:58,0.78,-0.004,0.008,0.992
13:37:59,0.81,-0.012,0.012,0.984
