Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
08:42:00,0.46,0.024,0.048,0.924
08:42:01,0.46,0.024,0.004,0.936
08:42:02,0.46,0.028,0.008,0.948
08:42:03,0.46,0.02,0.008,0.96
08:42:04,0.46,0.02,0.008,0.916
08:42:05,0.46,0.016,0.02,0.964
08:42:06,0.46,0.016,0.016,0.852
08:42:07,0.46,0.024,0.02,0.928
08:42:08,0.46,0.032,0,0.896
08:42:09,0.46,0.024,0.012,0.94
08:42:10,0.46,0.016,0.02,1.024
08:42:11,0.46,0.028,0.008,0.912
08:42:12,0.46,0.044,0.008,0.908
08:42:13,0.46,0.028,0.012,0.924
08:42:14,0.46,0.028,0.012,0.972
08:42:15,0.46,0.02,0.016,0.952
08:42:16,0.46,0.032,0.012,0.956
08:42:17,0.46,0.028,0.008,0.96
08:42:18,0.46,0.036,0.004,0.952
08:42:19,0.46,0.032,0.012,0.984
08:42:20,0.46,0.036,0.004,0.908
08:42:21,0.46,0.032,0.004,0.944
08:42:22,0.46,0.028,0.012,0.948
08:42:23,0.46,0.024,0.016,1.008
08:42:24,0.46,0.036,0.004,0.936
08:42:25,0.46,0.024,0.004,0.932
08:42:26,0.43,0.02,0.012,0.92
08:42:27,0.46,0.044,0.004,0.964
08:42:28,0.46,0.02,0.008,0.892
08:42:29,0.43,0.024,0.004,0.944
08:42:30,0.46,0.028,0.008,0.936
08:42:31,0.46,0.02,0.004,0.928
08:42:32,0.46,0.036,0.004,0.976
08:42:33,0.46,0.032,0.004,0.944
08:42:34,0.46,0.028,0.016,0.944
08:42:35,0.46,0.02,0.012,0.944
08:42:36,0.46,0.024,0.004,0.932
08:42:37,0.46,0.016,0.008,0.956
08:42:38,0.46,0.032,0.012,0.944
08:42:39,0.46,0.024,0.008,0.952
08:42:40,0.46,0.008,0.016,0.892
08:42:41,0.46,0.028,0.004,0.896
08:42:42,0.46,0.04,0.012,0.96
08:42:43,0.46,0.02,0.004,0.892
08:42:44,0.46,0.036,0.004,0.94
08:42:45,0.46,0.032,0.008,0.96
08:42:46,0.43,0.02,0.004,0.96
08:42:47,0.43,0.028,0.008,0.912
08:42:48,0.46,0.02,0.012,0.936
08:42:49,0.46,0.012,0.02,0.952
08:42:50,0.46,0.028,0.004,0.936
08:42:51,0.46,0.016,0.024,0.98
08:42:52,0.46,0.028,0.012,0.94
08:42:53,0.46,0.032,0.004,0.968
08:42:54,0.43,0.028,0.012,0.936
08:42:55,0.43,0.028,0.012,0.968
08:42:56,0.46,0.02,0.004,0.912
08:42:57,0.46,0.032,0,0.952
08:42:58,0.46,0.032,0.016,0.928
08:42:59,0.46,0.012,0.004,0.924
08:43:00,0.46,0.032,0.012,0.976
08:43:01,0.46,0.028,0.008,0.92
08:43:02,0.46,0.032,0.012,0.96
08:43:03,0.46,0.036,0.004,0.948
08:43:04,0.46,0.028,0.008,0.952
08:43:05,0.46,0.024,0.016,0.94
08:43:06,0.46,0.028,0.016,0.936
08:43:07,0.46,0.032,0.016,0.936
08:43:08,0.46,0.02,0.012,0.98
08:43:09,0.46,0.084,-0.024,0.848
08:43:10,0.43,0.012,0.04,0.972
08:43:11,0.46,0.032,0.004,0.996
08:43:12,0.46,0.02,0.008,0.98
08:43:13,0.46,0.016,0.004,0.928
08:43:14,0.46,0.04,-0.008,0.876
08:43:15,0.46,0.016,0.024,1
08:43:16,0.46,0.04,0.008,1.016
08:43:17,0.46,0.016,0.012,0.948
08:43:18,0.43,0.024,0.008,0.908
08:43:19,0.46,0.036,0.016,0.892
08:43:20,0.46,0.024,0.008,0.944
08:43:21,0.46,0.032,0.016,0.984
08:43:22,0.46,0.024,0.016,0.92
08:43:23,0.46,0.036,0.004,0.948
08:43:24,0.46,0.036,0.008,0.944
08:43:25,0.46,0.028,0.008,0.92
08:43:26,0.46,0.04,0.008,0.98
08:43:27,0.46,0.028,0.02,0.94
08:43:28,0.46,0.028,0.012,0.944
08:43:29,0.46,0.036,0.012,0.976
08:43:30,0.46,0.032,0.02,0.948
08:43:31,0.46,0.02,0.004,0.916
08:43:32,0.46,0.028,0.008,0.944
08:43:33,0.46,0.032,0.016,0.94
