Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
07:00:00,0.65,-0.004,-0.004,0.46
07:00:01,0.65,0.024,-0.012,0.936
07:00:02,0.68,0.008,-0.012,0.928
07:00:03,0.65,0.008,-0.008,0.928
07:00:04,0.65,0.016,-0.016,0.92
07:00:05,0.65,0.008,-0.012,0.924
07:00:06,0.65,0.016,-0.004,0.936
07:00:07,0.68,0.016,-0.012,0.936
07:00:08,0.65,0.016,-0.008,0.928
07:00:09,0.65,0.008,0,0.94
07:00:10,0.65,0.008,-0.008,0.936
07:00:11,0.65,0.016,-0.008,0.932
07:00:12,0.68,0.012,-0.004,0.932
07:00:13,0.68,0.016,-0.012,0.932
07:00:14,0.68,0.012,-0.008,0.94
07:00:15,0.68,0.012,-0.008,0.936
07:00:16,0.65,0.008,0,0.928
07:00:17,0.65,0.016,-0.008,0.944
07:00:18,0.65,0.016,0,0.932
07:00:19,0.65,0.02,-0.004,0.94
07:00:20,0.65,0.024,-0.004,0.932
07:00:21,0.65,0.016,-0.008,0.92
07:00:22,0.65,0.016,0,0.936
07:00:23,0.65,0.008,-0.012,0.92
07:00:24,0.68,0.008,-0.008,0.928
07:00:25,0.65,0.012,-0.012,0.944
07:00:26,0.68,0.004,-0.004,0.936
07:00:27,0.65,0.024,-0.012,0.94
07:00:28,0.65,0.016,-0.004,0.94
07:00:29,0.65,0.012,-0.008,0.928
07:00:30,0.65,0.012,-0.012,0.94
07:00:31,0.65,0.016,-0.012,0.936
07:00:32,0.68,0.02,-0.012,0.94
07:00:33,0.65,0.012,-0.016,0.94
07:00:34,0.65,0.008,-0.004,0.936
07:00:35,0.65,0.008,-0.016,0.94
07:00:36,0.65,0.008,-0.004,0.928
07:00:37,0.65,0.02,-0.012,0.924
07:00:38,0.65,0.008,-0.004,0.924
07:00:39,0.68,0.024,-0.004,0.928
07:00:40,0.65,0.012,-0.008,0.944
07:00:41,0.65,0.016,-0.004,0.928
07:00:42,0.65,0.024,-0.008,0.932
07:00:43,0.68,0.016,0,0.936
07:00:44,0.65,0.012,-0.016,0.936
07:00:45,0.65,0.012,-0.016,0.936
07:00:46,0.65,0.016,0,0.944
07:00:47,0.68,0.008,-0.008,0.928
07:00:48,0.65,0.016,-0.016,0.948
07:00:49,0.65,0.008,-0.008,0.948
07:00:50,0.65,0.016,-0.016,0.928
07:00:51,0.65,0.012,-0.012,0.936
07:00:52,0.65,0.016,-0.008,0.94
07:00:53,0.65,0.016,-0.016,0.928
07:00:54,0.65,0.012,-0.004,0.936
07:00:55,0.68,0.02,-0.016,0.924
07:00:56,0.65,0.02,-0.008,0.936
07:00:57,0.65,0.012,-0.004,0.932
07:00:58,0.65,0.016,-0.02,0.924
07:00:59,0.65,0.008,-0.008,0.94
07:01:00,0.68,0.016,-0.016,0.936
07:01:01,0.68,0.016,-0.008,0.936
07:01:02,0.65,0.008,-0.004,0.932
07:01:03,0.65,0.012,-0.012,0.932
07:01:04,0.65,0.016,-0.008,0.944
07:01:05,0.65,0.02,-0.012,0.932
07:01:06,0.65,0.016,0,0.94
07:01:07,0.65,0.024,-0.008,0.924
