Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
07:00:00,0.25,-0.04,0.012,0.928
07:00:01,0.25,-0.056,0.008,0.96
07:00:02,0.25,-0.044,0.008,0.952
07:00:03,0.25,-0.052,0.008,0.96
07:00:04,0.25,-0.052,0.016,0.956
07:00:05,0.25,-0.04,0.008,0.968
07:00:06,0.25,-0.056,0.008,0.952
07:00:07,0.25,-0.04,0.012,0.976
07:00:08,0.25,-0.056,0.004,0.98
07:00:09,0.25,-0.044,0.008,0.976
07:00:10,0.25,-0.056,0.008,0.972
07:00:11,0.25,-0.044,0.008,0.964
07:00:12,0.25,-0.044,0.008,0.988
07:00:13,0.25,-0.04,0.012,0.988
07:00:14,0.25,-0.04,0.008,0.988
07:00:15,0.25,-0.052,0.008,0.98
07:00:16,0.25,-0.044,0.004,0.984
07:00:17,0.25,-0.048,0.02,0.98
07:00:18,0.25,-0.056,0.016,0.968
07:00:19,0.25,-0.056,0.012,0.964
07:00:20,0.25,-0.044,0.012,0.952
07:00:21,0.25,-0.052,0.012,0.952
07:00:22,0.25,-0.044,0.008,0.936
07:00:23,0.25,-0.048,0.012,0.964
07:00:24,0.25,-0.048,0.016,0.964
07:00:25,0.25,-0.044,0.012,0.968
07:00:26,0.25,-0.044,0.008,0.972
07:00:27,0.25,-0.044,0.004,0.968
07:00:28,0.25,-0.048,0.008,0.98
07:00:29,0.25,-0.04,0.008,0.968
07:00:30,0.25,-0.048,0.012,0.976
07:00:31,0.25,-0.056,0.008,0.972
07:00:32,0.25,-0.036,0.004,0.984
07:00:33,0.25,-0.052,0.004,0.984
07:00:34,0.25,-0.04,0.012,0.984
07:00:35,0.25,-0.04,0.008,0.984
07:00:36,0.25,-0.044,0.012,0.972
07:00:37,0.25,-0.036,0.012,0.98
07:00:38,0.25,-0.044,0.004,0.96
07:00:39,0.25,-0.048,0.016,0.976
07:00:40,0.25,-0.052,0.02,0.972
07:00:41,0.25,-0.048,0.008,0.964
07:00:42,0.25,-0.056,0.012,0.964
07:00:43,0.25,-0.048,0.008,0.944
07:00:44,0.25,-0.06,0.016,0.956
07:00:45,0.25,-0.056,0.004,0.956
07:00:46,0.25,-0.04,0.016,0.944
07:00:47,0.25,-0.052,0.012,0.944
07:00:48,0.25,-0.04,0.008,0.956
07:00:49,0.25,-0.048,0.012,0.948
07:00:50,0.25,-0.056,0,0.956
07:00:51,0.25,-0.056,0.008,0.956
07:00:52,0.25,-0.052,0.012,0.948
07:00:53,0.25,-0.052,0.008,0.956
07:00:54,0.25,-0.044,0.008,0.968
07:00:55,0.25,-0.044,0.016,0.968
07:00:56,0.25,-0.052,0.012,0.964
07:00:57,0.25,-0.036,0.008,0.968
07:00:58,0.25,-0.048,0.008,0.968
07:00:59,0.25,-0.048,0,0.976
07:01:00,0.25,-0.044,0.008,0.98
07:01:01,0.25,-0.048,0.012,0.98
07:01:02,0.25,-0.056,0.008,0.972
07:01:03,0.25,-0.048,0.008,0.964
07:01:04,0.25,-0.052,0.004,0.972
07:01:05,0.25,-0.052,0.012,0.968
07:01:06,0.25,-0.04,0.008,0.96
07:01:07,0.25,-0.052,0.008,0.96
07:01:08,0.25,-0.044,0.004,0.952
07:01:09,0.25,-0.044,0.008,0.952
