Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
14:00:00,2.34,0.904,0.288,0.292
14:00:01,2.34,0.912,0.3,0.284
14:00:02,2.34,0.904,0.292,0.308
14:00:03,2.34,0.912,0.296,0.296
14:00:04,2.34,0.904,0.304,0.276
14:00:05,2.34,0.912,0.292,0.288
14:00:06,2.34,0.9,0.292,0.292
14:00:07,2.34,0.908,0.292,0.288
14:00:08,2.34,0.908,0.288,0.296
14:00:09,2.34,0.908,0.296,0.28
14:00:10,2.34,0.912,0.3,0.288
14:00:11,2.34,0.916,0.292,0.292
14:00:12,2.34,0.908,0.3,0.3
14:00:13,2.34,0.904,0.296,0.292
14:00:14,2.34,0.9,0.296,0.296
14:00:15,2.34,0.908,0.292,0.292
14:00:16,2.34,0.912,0.296,0.296
14:00:17,2.34,0.904,0.3,0.3
14:00:18,2.34,0.908,0.296,0.288
14:00:19,2.34,0.908,0.292,0.308
14:00:20,2.34,0.904,0.3,0.296
14:00:21,2.34,0.908,0.3,0.284
14:00:22,2.34,0.92,0.296,0.292
14:00:23,2.34,0.9,0.288,0.3
14:00:24,2.34,0.912,0.3,0.3
14:00:25,2.34,0.896,0.296,0.304
14:00:26,2.34,0.908,0.292,0.3
14:00:27,2.34,0.904,0.296,0.296
14:00:28,2.34,0.908,0.296,0.296
14:00:29,2.34,0.904,0.292,0.296
14:00:30,2.34,0.904,0.3,0.292
14:00:31,2.34,0.9,0.296,0.292
14:00:32,2.34,0.904,0.284,0.304
14:00:33,2.34,0.908,0.288,0.296
14:00:34,2.34,0.896,0.304,0.284
14:00:35,2.34,0.9,0.296,0.3
14:00:36,2.34,0.904,0.296,0.292
14:00:37,2.34,0.908,0.292,0.288
14:00:38,2.34,0.9,0.288,0.304
14:00:39,2.34,0.904,0.292,0.288
14:00:40,2.34,0.9,0.3,0.308
14:00:41,2.34,0.904,0.3,0.288
14:00:42,2.34,0.9,0.284,0.304
14:00:43,2.34,0.912,0.288,0.284
14:00:44,2.34,0.912,0.292,0.308
14:00:45,2.34,0.904,0.296,0.304
14:00:46,2.34,0.904,0.288,0.284
14:00:47,2.34,0.916,0.296,0.304
14:00:48,2.34,0.908,0.292,0.3
14:00:49,2.34,0.916,0.3,0.3
14:00:50,2.34,0.9,0.292,0.292
14:00:51,2.34,0.892,0.296,0.312
14:00:52,2.34,0.904,0.292,0.3
14:00:53,2.34,0.908,0.292,0.3
14:00:54,2.34,0.912,0.292,0.292
14:00:55,2.34,0.908,0.296,0.288
14:00:56,2.34,0.9,0.304,0.288
14:00:57,2.34,0.896,0.304,0.3
14:00:58,2.34,0.904,0.284,0.292
14:00:59,2.34,0.896,0.296,0.288
14:01:00,2.34,0.912,0.3,0.296
14:01:01,2.34,0.896,0.284,0.3
14:01:02,2.34,0.908,0.292,0.308
14:01:03,2.34,0.896,0.3,0.3
14:01:04,2.34,0.904,0.292,0.308
14:01:05,2.34,0.904,0.284,0.3
14:01:06,2.34,0.904,0.292,0.288
14:01:07,2.34,0.912,0.284,0.3
14:01:08,2.34,0.912,0.292,0.292
14:01:09,2.34,0.912,0.304,0.304
14:01:10,2.34,0.908,0.292,0.296
14:01:11,2.34,0.9,0.296,0.276
14:01:12,2.34,0.916,0.3,0.288
14:01:13,2.34,0.912,0.296,0.296
14:01:14,2.34,0.9,0.292,0.288
14:01:15,2.34,0.9,0.308,0.312
14:01:16,2.34,0.916,0.304,0.284
14:01:17,2.34,0.908,0.3,0.3
14:01:18,2.34,0.908,0.316,0.3
14:01:19,2.34,0.908,0.292,0.292
14:01:20,2.34,0.908,0.296,0.288
14:01:21,2.34,0.912,0.296,0.296
14:01:22,2.34,0.912,0.296,0.292
14:01:23,2.34,0.896,0.296,0.296
14:01:24,2.34,0.9,0.3,0.292
14:01:25,2.34,0.908,0.296,0.3
14:01:26,2.34,0.896,0.288,0.292
14:01:27,2.34,0.904,0.296,0.3
14:01:28,2.34,0.912,0.292,0.296
14:01:29,2.34,0.904,0.296,0.292
14:01:30,2.34,0.908,0.296,0.288
14:01:31,2.34,0.9,0.296,0.296
14:01:32,2.31,0.912,0.296,0.3
14:01:33,2.34,0.908,0.3,0.292
14:01:34,2.34,0.904,0.3,0.296
14:01:35,2.34,0.908,0.288,0.28
14:01:36,2.34,0.904,0.308,0.292
14:01:37,2.34,0.912,0.292,0.292
14:01:38,2.34,0.904,0.296,0.288
14:01:39,2.34,0.908,0.296,0.296
14:01:40,2.34,0.904,0.296,0.288
14:01:41,2.34,0.892,0.292,0.284
14:01:42,2.34,0.908,0.3,0.296
14:01:43,2.34,0.904,0.296,0.308
14:01:44,2.34,0.904,0.304,0.284
14:01:45,2.34,0.924,0.296,0.292
14:01:46,2.34,0.912,0.3,0.3
14:01:47,2.34,0.916,0.3,0.292
14:01:48,2.34,0.912,0.3,0.288
14:01:49,2.34,0.912,0.292,0.296
14:01:50,2.34,0.908,0.292,0.304
14:01:51,2.34,0.908,0.296,0.288
14:01:52,2.34,0.912,0.292,0.284
14:01:53,2.34,0.9,0.288,0.3
14:01:54,2.34,0.908,0.3,0.296
14:01:55,2.34,0.896,0.308,0.296
14:01:56,2.34,0.912,0.3,0.312
14:01:57,2.34,0.912,0.292,0.296
14:01:58,2.34,0.904,0.3,0.296
14:01:59,2.34,0.904,0.304,0.3
14:02:00,2.34,0.908,0.304,0.292
14:02:01,2.34,0.9,0.292,0.3
14:02:02,2.34,0.904,0.292,0.3
14:02:03,2.34,0.912,0.28,0.296
14:02:04,2.34,0.9,0.3,0.3
14:02:05,2.34,0.908,0.3,0.3
14:02:06,2.34,0.912,0.292,0.3
14:02:07,2.34,0.904,0.288,0.292
14:02:08,2.34,0.912,0.292,0.3
14:02:09,2.34,0.9,0.296,0.3
14:02:10,2.34,0.908,0.3,0.296
14:02:11,2.34,0.916,0.296,0.308
14:02:12,2.34,0.908,0.3,0.304
14:02:13,2.34,0.904,0.288,0.296
14:02:14,2.34,0.912,0.284,0.3
14:02:15,2.34,0.912,0.3,0.308
14:02:16,2.34,0.908,0.296,0.3
14:02:17,2.34,0.9,0.3,0.304
14:02:18,2.34,0.916,0.3,0.3
14:02:19,2.34,0.9,0.292,0.292
14:02:20,2.34,0.904,0.296,0.296
14:02:21,2.34,0.904,0.284,0.304
14:02:22,2.34,0.892,0.292,0.304
14:02:23,2.34,0.908,0.308,0.296
14:02:24,2.34,0.9,0.288,0.304
14:02:25,2.34,0.908,0.296,0.3
14:02:26,2.34,0.904,0.292,0.3
14:02:27,2.34,0.904,0.296,0.308
14:02:28,2.34,0.904,0.284,0.3
14:02:29,2.34,0.912,0.304,0.296
14:02:30,2.34,0.9,0.288,0.304
14:02:31,2.34,0.916,0.296,0.3
14:02:32,2.34,0.908,0.288,0.284
14:02:33,2.34,0.912,0.296,0.296
14:02:34,2.34,0.904,0.3,0.3
14:02:35,2.31,0.896,0.292,0.296
14:02:36,2.34,0.9,0.292,0.292
14:02:37,2.34,0.896,0.296,0.28
14:02:38,2.34,0.9,0.292,0.3
14:02:39,2.34,0.9,0.296,0.308
14:02:40,2.34,0.904,0.3,0.292
14:02:41,2.34,0.9,0.288,0.3
14:02:42,2.34,0.912,0.296,0.296
14:02:43,2.34,0.908,0.288,0.296
14:02:44,2.34,0.912,0.296,0.3
14:02:45,2.34,0.912,0.292,0.296
14:02:46,2.34,0.904,0.3,0.296
14:02:47,2.34,0.9,0.292,0.284
14:02:48,2.34,0.908,0.292,0.292
14:02:49,2.34,0.896,0.3,0.296
14:02:50,2.34,0.904,0.3,0.3
14:02:51,2.34,0.908,0.292,0.304
14:02:52,2.34,0.908,0.296,0.296
14:02:53,2.34,0.904,0.292,0.3
14:02:54,2.34,0.912,0.296,0.304
14:02:55,2.34,0.9,0.296,0.288
14:02:56,2.34,0.904,0.3,0.3
14:02:57,2.31,0.908,0.3,0.296
14:02:58,2.34,0.916,0.284,0.304
14:02:59,2.31,0.904,0.288,0.312
14:03:00,2.34,0.904,0.296,0.304
