"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-19 15:03:38.90",1,0.564,0.176,-0.404,0.81,1,"1.in",1,"1.Other","00:00:00.04","in","Other","water","surface","in",2016-08-19 15:03:38.90
"2016-08-19 15:03:38.95",1,-1.042,-0.54,-0.104,0.795,1,"1.in",1,"1.Other","00:00:00.00","in","Other","water","surface","",2016-08-19 15:03:38.95
"2016-08-19 15:03:39.00",1,-1.098,-0.58,-0.26,0.78,1,"1.in",1,"1.Other","62005","in","Other","water","surface","",2016-08-19 15:03:39.00
"2016-08-19 15:03:39.01",1,-1.266,-0.312,-0.096,0.795,1,"1.in",1,"1.Other","62006","in","Other","water","surface","",2016-08-19 15:03:39.01
"2016-08-19 15:03:39.06",1,-1.208,0.21,0.904,0.84,1,"1.in",1,"1.Other","62008","in","Other","water","surface","",2016-08-19 15:03:39.06
"2016-08-19 15:03:39.15",1,-1.214,0.194,0.988,0.9,1,"1.in",1,"1.Other","62009","in","Other","water","surface","",2016-08-19 15:03:39.15
"2016-08-19 15:03:39.20",1,-1.164,0.396,1.13,1.01,1,"1.in",1,"1.Other","62010","in","Other","water","surface","",2016-08-19 15:03:39.20
"2016-08-19 15:03:39.25",1,-0.72,0.39,1.436,1.105,1,"1.in",1,"1.Other","62011","in","Other","water","surface","",2016-08-19 15:03:39.25
"2016-08-19 15:03:39.26",1,-0.298,0.05,1.774,1.31,1,"1.in",1,"1.Other","62013","in","Other","water","surface","",2016-08-19 15:03:39.26
"2016-08-19 15:03:39.31",1,0.136,-0.086,1.948,1.355,1,"1.in",1,"1.Other","62014","in","Other","water","surface","",2016-08-19 15:03:39.31
"2016-08-19 15:03:39.40",1,0.078,0.116,1.774,1.295,1,"1.in",1,"1.Other","62015","in","Other","water","surface","",2016-08-19 15:03:39.40
"2016-08-19 15:03:39.45",1,-0.124,0.174,1.456,1.215,1,"1.in",1,"1.Other","62016","in","Other","water","surface","",2016-08-19 15:03:39.45
"2016-08-19 15:03:39.50",1,-0.096,-0.082,1.17,1.18,1,"1.in",1,"1.Other","62017","in","Other","water","surface","",2016-08-19 15:03:39.50
"2016-08-19 15:03:39.51",1,-0.108,-0.036,1.042,1.195,1,"1.in",1,"1.Other","62019","in","Other","water","surface","",2016-08-19 15:03:39.51
"2016-08-19 15:03:39.56",1,-0.162,-0.046,1.012,1.18,1,"1.in",1,"1.Other","62020","in","Other","water","surface","",2016-08-19 15:03:39.56
"2016-08-19 15:03:39.65",1,-0.21,-0.142,1.022,1.165,1,"1.slow",2,"2.Travelling","62021","slow","Travelling","water","surface","slow",2016-08-19 15:03:39.65
"2016-08-19 15:03:39.70",1,-0.164,-0.194,0.98,1.165,1,"1.slow",2,"2.Travelling","62022","slow","Travelling","water","surface","",2016-08-19 15:03:39.70
"2016-08-19 15:03:39.75",1,-0.05,0.03,1.11,1.165,1,"1.slow",2,"2.Travelling","62024","slow","Travelling","water","surface","",2016-08-19 15:03:39.75
"2016-08-19 15:03:39.76",1,0.022,0.124,1.04,1.135,1,"1.slow",2,"2.Travelling","62025","slow","Travelling","water","surface","",2016-08-19 15:03:39.76
"2016-08-19 15:03:39.81",1,0.064,0.018,0.956,1.12,1,"1.slow",2,"2.Travelling","62026","slow","Travelling","water","surface","",2016-08-19 15:03:39.81
"2016-08-19 15:03:39.90",1,0.026,-0.056,0.92,1.12,1,"1.slow",2,"2.Travelling","62027","slow","Travelling","water","surface","",2016-08-19 15:03:39.90
"2016-08-19 15:03:39.95",1,0.004,0,0.904,1.075,1,"1.slow",2,"2.Travelling","62029","slow","Travelling","water","surface","",2016-08-19 15:03:39.95
"2016-08-19 15:03:40.00",1,0.02,-0.02,0.89,1.075,1,"1.slow",2,"2.Travelling","62030","slow","Travelling","water","surface","",2016-08-19 15:03:40.00
"2016-08-19 15:03:40.01",1,0.026,-0.018,0.878,1.06,1,"1.slow",2,"2.Travelling","62031","slow","Travelling","water","surface","",2016-08-19 15:03:40.01
