"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-09 09:34:42.000",1,-1.164,0.156,0.18,1.06,1,"1.swimming",1,"1.Travelling","00:00:00.04","swimming","Travelling","water","surface","swimming",2016-08-09 09:34:42.000
"2016-08-09 09:34:42.052",1,-1.1164,0.1658,0.4576,1.7135,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.052
"2016-08-09 09:34:42.105",1,-1.1128,0.1516,0.4592,1.717,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.105
"2016-08-09 09:34:42.157",1,-1.1092,0.1374,0.4608,1.7205,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.157
"2016-08-09 09:34:42.210",1,-1.1056,0.1232,0.4624,1.724,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.210
"2016-08-09 09:34:42.262",1,-1.102,0.109,0.464,1.7275,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.262
"2016-08-09 09:34:42.315",1,-1.0984,0.0948,0.4656,1.731,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.315
"2016-08-09 09:34:42.367",1,-1.0948,0.0806,0.4672,1.7345,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.367
"2016-08-09 09:34:42.420",1,-1.0912,0.0664,0.4688,1.738,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.420
"2016-08-09 09:34:42.473",1,-1.0876,0.0522,0.4704,1.7415,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.473
"2016-08-09 09:34:42.525",1,-1.084,0.038,0.472,1.745,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.525
"2016-08-09 09:34:42.578",1,-1.0804,0.0238,0.4736,1.7485,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.578
"2016-08-09 09:34:42.630",1,-1.0768,0.00960000000000003,0.4752,1.752,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.630
"2016-08-09 09:34:42.683",1,-1.0732,-0.00459999999999999,0.4768,1.7555,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.683
"2016-08-09 09:34:42.733",1,-1.0696,-0.0188,0.4784,1.759,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.733
"2016-08-09 09:34:42.788",1,-1.066,-0.033,0.48,1.7625,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.788
"2016-08-09 09:34:42.838",1,-1.0624,-0.0472,0.4816,1.766,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.838
"2016-08-09 09:34:42.891",1,-1.0588,-0.0614,0.4832,1.7695,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.891
"2016-08-09 09:34:42.946",1,-1.0552,-0.0756,0.4848,1.773,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.946
"2016-08-09 09:34:42.996",1,-1.0516,-0.0898,0.4864,1.7765,1,"1.swimming",1,"1.Travelling","29057","swimming","Travelling","water","underwater","",2016-08-09 09:34:42.996
"2016-08-09 09:34:43.051",1,-0.8462,-0.0222,0.5206,3.0615,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.051
"2016-08-09 09:34:43.101",1,-0.8444,-0.0244,0.5212,3.063,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.101
"2016-08-09 09:34:43.154",1,-0.8426,-0.0266,0.5218,3.0645,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.154
"2016-08-09 09:34:43.207",1,-0.8408,-0.0288,0.5224,3.066,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.207
"2016-08-09 09:34:43.259",1,-0.839,-0.031,0.523,3.0675,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.259
"2016-08-09 09:34:43.312",1,-0.8372,-0.0332,0.5236,3.069,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.312
"2016-08-09 09:34:43.365",1,-0.8354,-0.0354,0.5242,3.0705,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.365
"2016-08-09 09:34:43.417",1,-0.8336,-0.0376,0.5248,3.072,1,"1.swimming",1,"1.Travelling","29067","swimming","Travelling","water","underwater","",2016-08-09 09:34:43.417
