"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-09 07:31:05.000",1,0.34,-0.052,1.048,0.4,1,"1.moving",1,"1.Travelling","8083","moving","Travelling","land","land","",2016-08-09 07:31:05.000
"2016-08-09 07:31:05.052",1,-0.3694,0.8008,0.3722,0.37,1,"1.moving",1,"1.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.052
"2016-08-09 07:31:05.105",1,-0.3508,0.7696,0.3404,0.37,2,"2.moving",2,"2.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.105
"2016-08-09 07:31:05.157",1,-0.3322,0.7384,0.3086,0.37,3,"3.moving",3,"3.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.157
"2016-08-09 07:31:05.210",1,-0.3136,0.7072,0.2768,0.37,4,"4.moving",4,"4.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.210
"2016-08-09 07:31:05.262",1,-0.295,0.676,0.245,0.37,5,"5.moving",5,"5.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.262
"2016-08-09 07:31:05.315",1,-0.2764,0.6448,0.2132,0.37,6,"6.moving",6,"6.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.315
"2016-08-09 07:31:05.367",1,-0.2578,0.6136,0.1814,0.37,7,"7.moving",7,"7.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.367
"2016-08-09 07:31:05.420",1,-0.2392,0.5824,0.1496,0.37,8,"8.moving",8,"8.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.420
"2016-08-09 07:31:05.470",1,-0.2206,0.5512,0.1178,0.37,9,"9.moving",9,"9.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.470
"2016-08-09 07:31:05.525",1,-0.202,0.52,0.086,0.37,10,"10.moving",10,"10.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.525
"2016-08-09 07:31:05.575",1,-0.1834,0.4888,0.0542,0.37,11,"11.moving",11,"11.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.575
"2016-08-09 07:31:05.630",1,-0.1648,0.4576,0.0224,0.37,12,"12.moving",12,"12.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.630
"2016-08-09 07:31:05.683",1,-0.1462,0.4264,-0.00940000000000002,0.37,13,"13.moving",13,"13.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.683
"2016-08-09 07:31:05.733",1,-0.1276,0.3952,-0.0412,0.37,14,"14.moving",14,"14.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.733
"2016-08-09 07:31:05.788",1,-0.109,0.364,-0.073,0.37,15,"15.moving",15,"15.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.788
"2016-08-09 07:31:05.838",1,-0.0904,0.3328,-0.1048,0.37,16,"16.moving",16,"16.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.838
"2016-08-09 07:31:05.891",1,-0.0718,0.3016,-0.1366,0.37,17,"17.moving",17,"17.Travelling","00:00:00.04","moving","Travelling","land","land","moving",2016-08-09 07:31:05.891
