"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-09 15:02:02.000,1,0.916,0.076,0.5,0.53,1,"1.other",1,"1.Other","57602","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.052,1,0.792,-0.02,0.5338,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.105,1,0.788,-0.02,0.5356,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.157,1,0.784,-0.02,0.5374,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.210,1,0.78,-0.02,0.5392,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.262,1,0.776,-0.02,0.541,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.315,1,0.772,-0.02,0.5428,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.367,1,0.768,-0.02,0.5446,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.420,1,0.764,-0.02,0.5464,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.472,1,0.76,-0.02,0.5482,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.525,1,0.756,-0.02,0.55,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.577,1,0.752,-0.02,0.5518,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.630,1,0.748,-0.02,0.5536,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.683,1,0.744,-0.02,0.5554,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.735,1,0.74,-0.02,0.5572,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.788,1,0.736,-0.02,0.559,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.840,1,0.732,-0.02,0.5608,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.893,1,0.728,-0.02,0.5626,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.945,1,0.724,-0.02,0.5644,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:02.998,1,0.72,-0.02,0.5662,0.53,1,"1.other",1,"1.Other","57598","other","Other","land","land","","2016-08-09 15:02:02"
2016-08-09 15:02:03.050,1,0.7798,-0.149,0.569,0.53,1,"1.other",1,"1.Other","57614","other","Other","land","land","","2016-08-09 15:02:03"
2016-08-09 15:02:03.103,1,0.7756,-0.15,0.57,0.53,1,"1.other",1,"1.Other","57614","other","Other","land","land","","2016-08-09 15:02:03"
2016-08-09 15:02:03.155,1,0.7714,-0.151,0.571,0.53,1,"1.other",1,"1.Other","57614","other","Other","land","land","","2016-08-09 15:02:03"
