"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-09 09:27:09.000,1,0.408,-0.284,-0.104,1.43,1,"1.moving",1,"1.Travelling","52233","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.052,1,0.7804,0.7012,0.675,1.4585,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.104,1,0.7768,0.6904,0.662,1.457,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.157,1,0.7732,0.6796,0.649,1.4555,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.209,1,0.7696,0.6688,0.636,1.454,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.261,1,0.766,0.658,0.623,1.4525,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.314,1,0.7624,0.6472,0.61,1.451,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.366,1,0.7588,0.6364,0.597,1.4495,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.419,1,0.7552,0.6256,0.584,1.448,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.471,1,0.7516,0.6148,0.571,1.4465,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.523,1,0.748,0.604,0.558,1.445,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.576,1,0.7444,0.5932,0.545,1.4435,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.628,1,0.7408,0.5824,0.532,1.442,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.680,1,0.7372,0.5716,0.519,1.4405,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.733,1,0.7336,0.5608,0.506,1.439,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.785,1,0.73,0.55,0.493,1.4375,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.838,1,0.7264,0.5392,0.48,1.436,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.890,1,0.7228,0.5284,0.467,1.4345,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.942,1,0.7192,0.5176,0.454,1.433,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:09.995,1,0.7156,0.5068,0.441,1.4315,1,"1.moving",1,"1.Travelling","52224","moving","Travelling","land","land","","2016-08-09 09:27:09"
2016-08-09 09:27:10.047,1,0.5908,0.412,0.6764,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.099,1,0.5896,0.408,0.6728,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.152,1,0.5884,0.404,0.6692,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.204,1,0.5872,0.4,0.6656,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.257,1,0.586,0.396,0.662,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.309,1,0.5848,0.392,0.6584,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.361,1,0.5836,0.388,0.6548,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.414,1,0.5824,0.384,0.6512,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.466,1,0.5812,0.38,0.6476,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.519,1,0.58,0.376,0.644,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.571,1,0.5788,0.372,0.6404,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.623,1,0.5776,0.368,0.6368,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.676,1,0.5764,0.364,0.6332,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.728,1,0.5752,0.36,0.6296,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.780,1,0.574,0.356,0.626,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.833,1,0.5728,0.352,0.6224,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.885,1,0.5716,0.348,0.6188,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.938,1,0.5704,0.344,0.6152,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:10.990,1,0.5692,0.34,0.6116,1.43,1,"1.moving",1,"1.Travelling","52260","moving","Travelling","land","land","","2016-08-09 09:27:10"
2016-08-09 09:27:11.042,1,0.2154,0.2578,0.8176,1.4315,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.095,1,0.2148,0.2596,0.8152,1.433,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.147,1,0.2142,0.2614,0.8128,1.4345,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.200,1,0.2136,0.2632,0.8104,1.436,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.252,1,0.213,0.265,0.808,1.4375,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.304,1,0.2124,0.2668,0.8056,1.439,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.357,1,0.2118,0.2686,0.8032,1.4405,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.409,1,0.2112,0.2704,0.8008,1.442,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.461,1,0.2106,0.2722,0.7984,1.4435,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.514,1,0.21,0.274,0.796,1.445,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.566,1,0.2094,0.2758,0.7936,1.4465,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.619,1,0.2088,0.2776,0.7912,1.448,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.671,1,0.2082,0.2794,0.7888,1.4495,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.723,1,0.2076,0.2812,0.7864,1.451,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.776,1,0.207,0.283,0.784,1.4525,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.828,1,0.2064,0.2848,0.7816,1.454,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.880,1,0.2058,0.2866,0.7792,1.4555,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.933,1,0.2052,0.2884,0.7768,1.457,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:11.985,1,0.2046,0.2902,0.7744,1.4585,1,"1.moving",1,"1.Travelling","52275","moving","Travelling","land","land","","2016-08-09 09:27:11"
2016-08-09 09:27:12.038,1,0.4118,0.068,0.381,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.090,1,0.4076,0.116,0.39,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.142,1,0.4034,0.164,0.399,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.195,1,0.3992,0.212,0.408,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.247,1,0.395,0.26,0.417,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.299,1,0.3908,0.308,0.426,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.352,1,0.3866,0.356,0.435,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.404,1,0.3824,0.404,0.444,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
2016-08-09 09:27:12.457,1,0.3782,0.452,0.453,1.43,1,"1.moving",1,"1.Travelling","52299","moving","Travelling","land","land","","2016-08-09 09:27:12"
