"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw"
2016-08-19 14:55:53.440,1,0.748,0.584,0.424,0.87,1,"1.moving",1,"1.Travelling","00:00:00.04","moving","Travelling","land","land","moving"
2016-08-19 14:55:53.492,1,1.016,0.372,0.422,0.87,1,"1.moving",1,"1.Travelling","00:00:00.00","moving","Travelling","land","land",""
2016-08-19 14:55:53.544,1,1.07,0.196,0.46,0.87,1,"1.moving",1,"1.Travelling","74078","moving","Travelling","land","land",""
2016-08-19 14:55:53.597,1,0.944,0.076,0.428,0.87,1,"1.moving",1,"1.Travelling","74079","moving","Travelling","land","land",""
2016-08-19 14:55:53.649,1,0.84,-0.086,0.434,0.87,1,"1.moving",1,"1.Travelling","74080","moving","Travelling","land","land",""
2016-08-19 14:55:53.702,1,0.812,-0.268,0.57,0.87,1,"1.moving",1,"1.Travelling","74082","moving","Travelling","land","land",""
2016-08-19 14:55:53.754,1,0.932,-0.26,0.744,0.87,1,"1.moving",1,"1.Travelling","74083","moving","Travelling","land","land",""
2016-08-19 14:55:53.807,1,0.66,0.01,0.878,0.87,1,"1.moving",1,"1.Travelling","74084","moving","Travelling","land","land",""
2016-08-19 14:55:53.859,1,0.328,0.304,1.04,0.87,1,"1.moving",1,"1.Travelling","74085","moving","Travelling","land","land",""
2016-08-19 14:55:53.912,1,0.396,0.548,1.152,0.87,1,"1.moving",1,"1.Travelling","74087","moving","Travelling","land","land",""
2016-08-19 14:55:53.964,1,0.36,0.654,0.89,0.87,1,"1.moving",1,"1.Travelling","74088","moving","Travelling","land","land",""
2016-08-19 14:55:54.017,1,0.26,0.684,0.566,0.87,1,"1.moving",1,"1.Travelling","74089","moving","Travelling","land","land",""
2016-08-19 14:55:54.069,1,0.482,0.662,0.282,0.87,1,"1.moving",1,"1.Travelling","74090","moving","Travelling","land","land",""
2016-08-19 14:55:54.122,1,1.022,0.098,0.33,0.87,1,"1.moving",1,"1.Travelling","74092","moving","Travelling","land","land",""
2016-08-19 14:55:54.174,1,0.918,-0.416,0.638,0.87,1,"1.moving",1,"1.Travelling","74093","moving","Travelling","land","land",""
2016-08-19 14:55:54.227,1,0.69,-0.658,0.618,0.87,1,"1.moving",1,"1.Travelling","74094","moving","Travelling","land","land",""
2016-08-19 14:55:54.279,1,0.638,-0.578,0.648,0.87,1,"1.moving",1,"1.Travelling","74095","moving","Travelling","land","land",""
