"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw"
2016-08-19 07:11:50.440,1,0.648,-0.004,0.696,2.18,1,"1.still",1,"1.Resting","00:00:00.04","still","Resting","water","underwater","still"
2016-08-19 07:11:50.490,1,0.76,0.014,0.736,2.21,1,"1.still",1,"1.Resting","00:00:00.00","still","Resting","water","underwater",""
2016-08-19 07:11:50.540,1,0.774,0.04,0.706,2.21,1,"1.still",1,"1.Resting","8003","still","Resting","water","underwater",""
2016-08-19 07:11:50.590,1,0.822,0.034,0.684,2.21,1,"1.still",1,"1.Resting","8004","still","Resting","water","underwater",""
2016-08-19 07:11:50.640,1,0.702,-0.04,0.664,2.195,1,"1.still",1,"1.Resting","8006","still","Resting","water","underwater",""
2016-08-19 07:11:50.690,1,0.648,-0.066,0.652,2.21,1,"1.still",1,"1.Resting","8007","still","Resting","water","underwater",""
2016-08-19 07:11:50.740,1,0.662,-0.074,0.634,2.21,1,"1.still",1,"1.Resting","8008","still","Resting","water","underwater",""
2016-08-19 07:11:50.790,1,0.688,-0.092,0.622,2.21,1,"1.still",1,"1.Resting","8009","still","Resting","water","underwater",""
2016-08-19 07:11:50.840,1,0.732,-0.144,0.61,2.21,1,"1.still",1,"1.Resting","8011","still","Resting","water","underwater",""
2016-08-19 07:11:50.890,1,0.726,-0.13,0.608,2.21,1,"1.still",1,"1.Resting","8012","still","Resting","water","underwater",""
2016-08-19 07:11:50.940,1,0.712,-0.142,0.628,2.21,1,"1.still",1,"1.Resting","8013","still","Resting","water","underwater",""
2016-08-19 07:11:50.990,1,0.69,-0.196,0.636,2.21,1,"1.still",1,"1.Resting","8014","still","Resting","water","underwater",""
2016-08-19 07:11:51.040,1,0.676,-0.28,0.652,2.25,1,"1.still",1,"1.Resting","8016","still","Resting","water","underwater",""
2016-08-19 07:11:51.090,1,0.682,-0.276,0.674,2.25,1,"1.still",1,"1.Resting","8017","still","Resting","water","underwater",""
2016-08-19 07:11:51.140,1,0.658,-0.268,0.694,2.25,1,"1.still",1,"1.Resting","8018","still","Resting","water","underwater",""
2016-08-19 07:11:51.190,1,0.65,-0.294,0.716,2.25,1,"1.still",1,"1.Resting","8019","still","Resting","water","underwater",""
2016-08-19 07:11:51.240,1,0.656,-0.354,0.722,2.25,1,"1.still",1,"1.Resting","8021","still","Resting","water","underwater",""
2016-08-19 07:11:51.290,1,0.654,-0.362,0.72,2.265,1,"1.still",1,"1.Resting","8022","still","Resting","water","underwater",""
2016-08-19 07:11:51.340,1,0.65,-0.364,0.734,2.28,1,"1.still",1,"1.Resting","8023","still","Resting","water","underwater",""
2016-08-19 07:11:51.390,1,0.648,-0.354,0.766,2.265,1,"1.still",1,"1.Resting","8024","still","Resting","water","underwater",""
2016-08-19 07:11:51.440,1,0.672,-0.216,0.766,2.25,1,"1.still",1,"1.Resting","8026","still","Resting","water","underwater",""
2016-08-19 07:11:51.490,1,0.686,-0.13,0.738,2.25,1,"1.still",1,"1.Resting","8027","still","Resting","water","underwater",""
2016-08-19 07:11:51.540,1,0.688,-0.098,0.702,2.25,1,"1.still",1,"1.Resting","8028","still","Resting","water","underwater",""
2016-08-19 07:11:51.590,1,0.666,-0.078,0.696,2.25,1,"1.still",1,"1.Resting","8029","still","Resting","water","underwater",""
