"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-09 15:02:33.000,1,0.92,0,0.396,2.68,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting","2016-08-09 15:02:33"
2016-08-09 15:02:33.052,1,0.9674,4e-04,0.3598,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.104,1,0.9668,8e-04,0.3596,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.157,1,0.9662,0.0012,0.3594,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.209,1,0.9656,0.0016,0.3592,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.262,1,0.965,0.002,0.359,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.314,1,0.9644,0.0024,0.3588,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.367,1,0.9638,0.0028,0.3586,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.419,1,0.9632,0.0032,0.3584,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.472,1,0.9626,0.0036,0.3582,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.524,1,0.962,0.004,0.358,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.577,1,0.9614,0.0044,0.3578,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.629,1,0.9608,0.0048,0.3576,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.682,1,0.9602,0.0052,0.3574,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.734,1,0.9596,0.0056,0.3572,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.787,1,0.959,0.006,0.357,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.839,1,0.9584,0.0064,0.3568,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.892,1,0.9578,0.0068,0.3566,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.944,1,0.9572,0.0072,0.3564,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:33.997,1,0.9566,0.0076,0.3562,2.68,1,"1.sitting",1,"1.Resting","49524","sitting","Resting","land","land","","2016-08-09 15:02:33"
2016-08-09 15:02:34.049,1,0.8996,-0.0082,0.3966,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.102,1,0.8992,-0.0084,0.3972,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.154,1,0.8988,-0.0086,0.3978,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.207,1,0.8984,-0.0088,0.3984,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.259,1,0.898,-0.009,0.399,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.312,1,0.8976,-0.0092,0.3996,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.364,1,0.8972,-0.0094,0.4002,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.417,1,0.8968,-0.0096,0.4008,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.469,1,0.8964,-0.0098,0.4014,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.522,1,0.896,-0.01,0.402,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.574,1,0.8956,-0.0102,0.4026,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.627,1,0.8952,-0.0104,0.4032,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.679,1,0.8948,-0.0106,0.4038,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.732,1,0.8944,-0.0108,0.4044,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.784,1,0.894,-0.011,0.405,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.837,1,0.8936,-0.0112,0.4056,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.889,1,0.8932,-0.0114,0.4062,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.942,1,0.8928,-0.0116,0.4068,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:34.994,1,0.8924,-0.0118,0.4074,2.68,1,"1.sitting",1,"1.Resting","49544","sitting","Resting","land","land","","2016-08-09 15:02:34"
2016-08-09 15:02:35.047,1,0.8694,-0.2028,0.4696,2.6815,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.099,1,0.8708,-0.2016,0.4712,2.683,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.152,1,0.8722,-0.2004,0.4728,2.6845,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.204,1,0.8736,-0.1992,0.4744,2.686,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.257,1,0.875,-0.198,0.476,2.6875,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.309,1,0.8764,-0.1968,0.4776,2.689,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.362,1,0.8778,-0.1956,0.4792,2.6905,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.414,1,0.8792,-0.1944,0.4808,2.692,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.467,1,0.8806,-0.1932,0.4824,2.6935,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.519,1,0.882,-0.192,0.484,2.695,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.572,1,0.8834,-0.1908,0.4856,2.6965,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.624,1,0.8848,-0.1896,0.4872,2.698,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.677,1,0.8862,-0.1884,0.4888,2.6995,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.729,1,0.8876,-0.1872,0.4904,2.701,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.782,1,0.889,-0.186,0.492,2.7025,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.834,1,0.8904,-0.1848,0.4936,2.704,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.887,1,0.8918,-0.1836,0.4952,2.7055,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.939,1,0.8932,-0.1824,0.4968,2.707,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:35.992,1,0.8946,-0.1812,0.4984,2.7085,1,"1.other",2,"2.Other","49568","other","Other","land","land","","2016-08-09 15:02:35"
2016-08-09 15:02:36.044,1,0.4164,-0.5678,0.7634,2.68,1,"1.other",2,"2.Other","49595","other","Other","land","land","","2016-08-09 15:02:36"
2016-08-09 15:02:36.097,1,0.4288,-0.5516,0.7508,2.68,1,"1.other",2,"2.Other","49595","other","Other","land","land","","2016-08-09 15:02:36"
