number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date
1,1.in,1,1.Other,00:00:00.04,15:03:38.90,0.81,0.564,0.176,-0.404,in,Other,water,surface,in,15:03:39
1,1.in,1,1.Other,00:00:00.00,15:03:38.94,0.81,-1.216,-0.588,-0.028,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62005,15:03:38.98,0.78,-0.868,-0.492,-0.18,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62006,15:03:39.02,0.78,-1.328,-0.668,-0.34,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62007,15:03:39.06,0.81,-1.204,0.044,0.148,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62008,15:03:39.10,0.84,-1.452,0.468,0.78,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62009,15:03:39.14,0.84,-0.964,-0.048,1.028,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62010,15:03:39.18,0.96,-1.464,0.436,0.948,in,Other,water,surface,,15:03:39
1,1.in,1,1.Other,62011,15:03:39.22,1.06,-0.864,0.356,1.312,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62012,15:03:39.26,1.15,-0.576,0.424,1.56,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62013,15:03:39.30,1.25,-0.58,0.244,1.616,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62014,15:03:39.34,1.37,-0.016,-0.144,1.932,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62015,15:03:39.38,1.34,0.288,-0.028,1.964,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62016,15:03:39.42,1.25,-0.132,0.26,1.584,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62017,15:03:39.46,1.18,-0.116,0.088,1.328,in,Other,water,underwater,,15:03:39
1,1.in,1,1.Other,62018,15:03:39.50,1.18,-0.076,-0.252,1.012,in,Other,water,underwater,,15:03:40
1,1.in,1,1.Other,62019,15:03:39.54,1.21,-0.128,-0.06,1.06,in,Other,water,underwater,,15:03:40
1,1.in,1,1.Other,62020,15:03:39.58,1.18,-0.088,-0.012,1.024,in,Other,water,underwater,,15:03:40
1,1.slow,2,2.Travelling,62021,15:03:39.62,1.18,-0.236,-0.08,1,slow,Travelling,water,underwater,slow,15:03:40
1,1.slow,2,2.Travelling,62022,15:03:39.66,1.15,-0.184,-0.204,1.044,slow,Travelling,water,underwater,,15:03:40
1,1.slow,2,2.Travelling,62023,15:03:39.70,1.18,-0.144,-0.184,0.916,slow,Travelling,water,underwater,,15:03:40
1,1.slow,2,2.Travelling,62024,15:03:39.74,1.18,-0.056,-0.06,1.152,slow,Travelling,water,underwater,,15:03:40
1,1.slow,2,2.Travelling,62025,15:03:39.78,1.15,-0.044,0.12,1.068,slow,Travelling,water,underwater,,15:03:40
