"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.other",1,"1.Other","00:00:00.04","2016-08-09 15:02:02",0.53,0.916,0.076,0.5,"other","Other","land","land","other",2016-08-09 15:02:02
1,"1.other",1,"1.Other","00:00:00.00","2016-08-09 15:02:02",0.53,0.884,0.06,0.48,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57594","2016-08-09 15:02:02",0.53,0.856,0.036,0.476,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57595","2016-08-09 15:02:02",0.53,0.864,0.016,0.48,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57596","2016-08-09 15:02:02",0.53,0.836,-0.008,0.492,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57597","2016-08-09 15:02:02",0.53,0.88,-0.004,0.5,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57598","2016-08-09 15:02:02",0.53,0.948,-0.016,0.5,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57599","2016-08-09 15:02:02",0.53,0.908,0.016,0.512,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57600","2016-08-09 15:02:02",0.53,0.856,0.016,0.512,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57601","2016-08-09 15:02:02",0.53,0.816,-0.004,0.5,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57602","2016-08-09 15:02:02",0.53,0.796,-0.02,0.532,"other","Other","land","land","",2016-08-09 15:02:02
1,"1.other",1,"1.Other","57603","2016-08-09 15:02:03",0.53,0.716,-0.02,0.568,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57604","2016-08-09 15:02:03",0.53,0.7,-0.012,0.62,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57605","2016-08-09 15:02:03",0.53,0.684,0,0.676,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57606","2016-08-09 15:02:03",0.53,0.72,0.012,0.664,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57607","2016-08-09 15:02:03",0.53,0.708,-0.092,0.684,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57608","2016-08-09 15:02:03",0.53,0.724,-0.168,0.7,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57609","2016-08-09 15:02:03",0.53,0.636,-0.188,0.716,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57610","2016-08-09 15:02:03",0.53,0.604,-0.188,0.612,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57611","2016-08-09 15:02:03",0.53,0.664,-0.36,0.58,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57612","2016-08-09 15:02:03",0.53,0.752,-0.42,0.528,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57613","2016-08-09 15:02:03",0.53,0.876,-0.204,0.512,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57614","2016-08-09 15:02:03",0.53,0.912,-0.02,0.528,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57615","2016-08-09 15:02:03",0.53,0.872,0.048,0.536,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57616","2016-08-09 15:02:03",0.53,0.832,0.084,0.508,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57617","2016-08-09 15:02:03",0.53,0.844,0.104,0.512,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57618","2016-08-09 15:02:03",0.53,0.888,0.084,0.472,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57619","2016-08-09 15:02:03",0.53,0.896,0.072,0.516,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57620","2016-08-09 15:02:03",0.53,0.888,0.04,0.528,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57621","2016-08-09 15:02:03",0.53,0.88,0.004,0.5,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57622","2016-08-09 15:02:03",0.53,0.864,-0.016,0.524,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57623","2016-08-09 15:02:03",0.53,0.848,-0.048,0.532,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57624","2016-08-09 15:02:03",0.53,0.876,-0.084,0.496,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57625","2016-08-09 15:02:03",0.53,0.884,-0.096,0.576,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57626","2016-08-09 15:02:03",0.53,0.784,-0.148,0.568,"other","Other","land","land","",2016-08-09 15:02:03
1,"1.other",1,"1.Other","57627","2016-08-09 15:02:04",0.53,0.7,-0.168,0.588,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57628","2016-08-09 15:02:04",0.53,0.604,-0.204,0.56,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57629","2016-08-09 15:02:04",0.53,0.604,-0.252,0.58,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57630","2016-08-09 15:02:04",0.53,0.68,-0.292,0.548,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57631","2016-08-09 15:02:04",0.53,0.748,-0.324,0.56,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57632","2016-08-09 15:02:04",0.53,0.784,-0.388,0.568,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57633","2016-08-09 15:02:04",0.53,0.84,-0.32,0.588,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57634","2016-08-09 15:02:04",0.53,0.932,-0.324,0.588,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57635","2016-08-09 15:02:04",0.53,0.892,-0.16,0.52,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57636","2016-08-09 15:02:04",0.53,0.848,-0.136,0.492,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57637","2016-08-09 15:02:04",0.53,0.924,0.056,0.544,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57638","2016-08-09 15:02:04",0.53,0.856,0.156,0.42,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57639","2016-08-09 15:02:04",0.53,0.856,0.228,0.396,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57640","2016-08-09 15:02:04",0.53,0.78,0.276,0.376,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57641","2016-08-09 15:02:04",0.53,0.884,0.072,0.512,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57642","2016-08-09 15:02:04",0.53,0.892,-0.116,0.612,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57643","2016-08-09 15:02:04",0.53,0.764,-0.18,0.636,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57644","2016-08-09 15:02:04",0.53,0.596,-0.272,0.612,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57645","2016-08-09 15:02:04",0.53,0.44,-0.268,0.6,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57646","2016-08-09 15:02:04",0.53,0.48,-0.332,0.56,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57647","2016-08-09 15:02:04",0.53,0.556,-0.424,0.576,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57648","2016-08-09 15:02:04",0.53,0.64,-0.512,0.584,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57649","2016-08-09 15:02:04",0.53,0.704,-0.508,0.592,"other","Other","land","land","",2016-08-09 15:02:04
1,"1.other",1,"1.Other","57650","2016-08-09 15:02:05",0.53,0.732,-0.436,0.632,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57651","2016-08-09 15:02:05",0.53,0.768,-0.32,0.668,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57652","2016-08-09 15:02:05",0.53,0.772,-0.248,0.596,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57653","2016-08-09 15:02:05",0.53,0.832,-0.116,0.548,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57654","2016-08-09 15:02:05",0.53,0.84,0,0.56,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57655","2016-08-09 15:02:05",0.53,0.888,0.128,0.532,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57656","2016-08-09 15:02:05",0.53,0.9,0.264,0.48,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57657","2016-08-09 15:02:05",0.53,0.888,0.248,0.432,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57658","2016-08-09 15:02:05",0.53,0.876,0.192,0.5,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57659","2016-08-09 15:02:05",0.53,0.916,-0.028,0.504,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57660","2016-08-09 15:02:05",0.53,0.924,-0.04,0.576,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57661","2016-08-09 15:02:05",0.5,0.828,-0.124,0.532,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57662","2016-08-09 15:02:05",0.53,0.812,-0.156,0.548,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57663","2016-08-09 15:02:05",0.53,0.772,-0.192,0.576,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57664","2016-08-09 15:02:05",0.53,0.712,-0.184,0.58,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57665","2016-08-09 15:02:05",0.53,0.704,-0.2,0.58,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57666","2016-08-09 15:02:05",0.53,0.7,-0.196,0.632,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57667","2016-08-09 15:02:05",0.53,0.704,-0.176,0.632,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57668","2016-08-09 15:02:05",0.53,0.68,-0.16,0.616,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57669","2016-08-09 15:02:05",0.53,0.692,-0.148,0.604,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57670","2016-08-09 15:02:05",0.53,0.716,-0.124,0.596,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57671","2016-08-09 15:02:05",0.53,0.744,-0.1,0.6,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57672","2016-08-09 15:02:05",0.53,0.76,-0.08,0.572,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57673","2016-08-09 15:02:05",0.53,0.768,-0.068,0.564,"other","Other","land","land","",2016-08-09 15:02:05
1,"1.other",1,"1.Other","57674","2016-08-09 15:02:06",0.53,0.776,-0.092,0.58,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57675","2016-08-09 15:02:06",0.53,0.812,-0.104,0.652,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57676","2016-08-09 15:02:06",0.53,0.856,-0.136,0.608,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57677","2016-08-09 15:02:06",0.53,0.884,-0.12,0.632,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57678","2016-08-09 15:02:06",0.53,0.816,-0.116,0.652,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57679","2016-08-09 15:02:06",0.53,0.784,-0.168,0.656,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57680","2016-08-09 15:02:06",0.53,0.728,-0.216,0.632,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57681","2016-08-09 15:02:06",0.53,0.924,-0.288,0.612,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57682","2016-08-09 15:02:06",0.53,0.82,-0.608,0.548,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57683","2016-08-09 15:02:06",0.53,0.9,-0.7,0.476,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57684","2016-08-09 15:02:06",0.53,0.564,-0.34,0.388,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57685","2016-08-09 15:02:06",0.5,-0.072,0.424,0.328,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57686","2016-08-09 15:02:06",0.53,0.108,0.896,0.364,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57687","2016-08-09 15:02:06",0.53,0.732,0.556,0.74,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57688","2016-08-09 15:02:06",0.53,0.648,-0.064,0.764,"other","Other","land","land","",2016-08-09 15:02:06
1,"1.other",1,"1.Other","57689","2016-08-09 15:02:06",0.53,0.564,-0.196,0.704,"other","Other","land","land","",2016-08-09 15:02:06
