"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.moving",1,"1.Travelling","00:00:00.04","2016-08-09 09:17:01",0.62,0.652,-0.416,0.892,"moving","Travelling","land","land","moving",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","00:00:00.00","2016-08-09 09:17:01",0.62,0.688,-0.468,1,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8018","2016-08-09 09:17:01",0.62,0.592,-0.496,0.852,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8019","2016-08-09 09:17:01",0.59,0.612,-0.42,0.42,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8020","2016-08-09 09:17:01",0.59,0.724,-0.18,0.268,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8021","2016-08-09 09:17:01",0.62,0.824,-0.24,0.152,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8022","2016-08-09 09:17:01",0.59,0.712,-0.388,0.128,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8023","2016-08-09 09:17:01",0.62,0.904,0.712,1.004,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8024","2016-08-09 09:17:01",0.62,0.812,1.268,1.052,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8025","2016-08-09 09:17:01",0.62,1.008,1.072,0.94,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8026","2016-08-09 09:17:01",0.62,0.94,0.792,0.88,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8027","2016-08-09 09:17:01",0.62,0.852,0.52,0.612,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8028","2016-08-09 09:17:01",0.62,0.82,0.4,0.544,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8029","2016-08-09 09:17:01",0.62,0.74,0.404,0.54,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8030","2016-08-09 09:17:01",0.62,0.704,0.408,0.532,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8031","2016-08-09 09:17:01",0.62,0.724,0.292,0.444,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8032","2016-08-09 09:17:01",0.62,0.776,0.252,0.408,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8033","2016-08-09 09:17:01",0.59,0.756,0.224,0.356,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8034","2016-08-09 09:17:01",0.59,0.656,0.236,0.424,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8035","2016-08-09 09:17:01",0.59,0.576,0.38,0.56,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8036","2016-08-09 09:17:01",0.59,0.576,0.396,0.764,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8037","2016-08-09 09:17:01",0.59,0.18,0.344,0.7,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8038","2016-08-09 09:17:01",0.59,-0.348,0.644,0.872,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8039","2016-08-09 09:17:01",0.62,-0.64,0.24,0.872,"moving","Travelling","land","land","",2016-08-09 09:17:01
1,"1.moving",1,"1.Travelling","8040","2016-08-09 09:17:02",0.62,-0.452,-0.396,0.944,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8041","2016-08-09 09:17:02",0.62,0.216,-0.316,1.28,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8042","2016-08-09 09:17:02",0.62,0.608,-0.108,1.588,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8043","2016-08-09 09:17:02",0.59,0.528,-0.044,1.244,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8044","2016-08-09 09:17:02",0.59,0.48,-0.252,0.72,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8045","2016-08-09 09:17:02",0.59,0.3,-0.156,0.1,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8046","2016-08-09 09:17:02",0.62,0.376,0.216,-0.024,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8047","2016-08-09 09:17:02",0.62,0.616,0.084,0.14,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8048","2016-08-09 09:17:02",0.62,1.008,-0.44,0.06,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8049","2016-08-09 09:17:02",0.62,1.556,0.488,0.812,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8050","2016-08-09 09:17:02",0.62,1.332,1.248,0.816,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8051","2016-08-09 09:17:02",0.59,1.072,0.948,0.644,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8052","2016-08-09 09:17:02",0.59,0.604,0.864,0.716,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8053","2016-08-09 09:17:02",0.59,0.444,0.792,0.608,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8054","2016-08-09 09:17:02",0.59,0.488,0.66,1.256,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8055","2016-08-09 09:17:02",0.59,0.524,-0.172,0.5,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8056","2016-08-09 09:17:02",0.62,0.032,-0.98,0.384,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8057","2016-08-09 09:17:02",0.62,0.308,-0.6,0.688,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8058","2016-08-09 09:17:02",0.62,0.492,-0.036,1.264,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8059","2016-08-09 09:17:02",0.62,0.484,-0.108,1.192,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8060","2016-08-09 09:17:02",0.59,0.488,-0.164,0.872,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8061","2016-08-09 09:17:02",0.59,0.42,-0.224,0.476,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8062","2016-08-09 09:17:02",0.59,0.412,-0.252,0.172,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8063","2016-08-09 09:17:02",0.62,0.324,-0.06,0.008,"moving","Travelling","land","land","",2016-08-09 09:17:02
1,"1.moving",1,"1.Travelling","8064","2016-08-09 09:17:03",0.62,0.532,-0.22,0.392,"moving","Travelling","land","land","",2016-08-09 09:17:03
1,"1.moving",1,"1.Travelling","8065","2016-08-09 09:17:03",0.62,1.612,0.664,1.388,"moving","Travelling","land","land","",2016-08-09 09:17:03
1,"1.moving",1,"1.Travelling","8066","2016-08-09 09:17:03",0.62,0.988,1.556,0.816,"moving","Travelling","land","land","",2016-08-09 09:17:03
1,"1.moving",1,"1.Travelling","8067","2016-08-09 09:17:03",0.62,1.384,1.248,0.796,"moving","Travelling","land","land","",2016-08-09 09:17:03
1,"1.moving",1,"1.Travelling","8068","2016-08-09 09:17:03",0.62,1.252,1.016,0.736,"moving","Travelling","land","land","",2016-08-09 09:17:03
1,"1.moving",1,"1.Travelling","8069","2016-08-09 09:17:03",0.62,0.88,0.676,0.336,"moving","Travelling","land","land","",2016-08-09 09:17:03
1,"1.moving",1,"1.Travelling","8070","2016-08-09 09:17:03",0.62,0.86,0.508,0.464,"moving","Travelling","land","land","",2016-08-09 09:17:03
