number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw
1,1.moving,1,1.Travelling,00:00:00.04,14:55:53.44,0.87,0.748,0.584,0.424,moving,Travelling,land,land,moving
1,1.moving,1,1.Travelling,00:00:00.00,14:55:53.48,0.87,0.908,0.488,0.356,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74078,14:55:53.52,0.87,1.124,0.256,0.488,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74079,14:55:53.57,0.87,1.016,0.136,0.432,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74080,14:55:53.61,0.87,0.872,0.016,0.424,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74081,14:55:53.65,0.87,0.808,-0.188,0.444,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74082,14:55:53.69,0.87,0.704,-0.196,0.496,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74083,14:55:53.73,0.87,0.92,-0.34,0.644,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74084,14:55:53.78,0.87,0.944,-0.18,0.844,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74085,14:55:53.82,0.87,0.376,0.2,0.912,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74086,14:55:53.86,0.87,0.28,0.408,1.168,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74087,14:55:53.90,0.87,0.388,0.46,1.236,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74088,14:55:53.94,0.87,0.404,0.636,1.068,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74089,14:55:53.99,0.87,0.316,0.672,0.712,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74090,14:55:54.03,0.87,0.204,0.696,0.42,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74091,14:55:54.07,0.87,0.76,0.628,0.144,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74092,14:55:54.11,0.87,0.984,0.42,0.1,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74093,14:55:54.15,0.87,1.06,-0.224,0.56,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74094,14:55:54.20,0.87,0.776,-0.608,0.716,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74095,14:55:54.24,0.87,0.604,-0.708,0.52,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74096,14:55:54.28,0.87,0.672,-0.448,0.776,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74097,14:55:54.32,0.87,0.74,0.252,0.848,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74098,14:55:54.36,0.87,0.492,0.204,0.988,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74099,14:55:54.41,0.87,0.324,0.436,0.96,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74100,14:55:54.45,0.87,0.32,0.632,1.08,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74101,14:55:54.49,0.87,0.2,0.684,1.068,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74102,14:55:54.53,0.84,0.16,0.688,0.836,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74103,14:55:54.57,0.87,0.42,0.692,0.856,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74104,14:55:54.62,0.87,0.584,0.352,0.616,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74105,14:55:54.66,0.87,0.616,-0.136,0.604,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74106,14:55:54.70,0.87,0.568,-0.328,0.636,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74107,14:55:54.74,0.87,0.66,-0.436,0.608,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74108,14:55:54.78,0.87,0.652,-0.224,0.688,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74109,14:55:54.83,0.87,0.636,0.024,0.776,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74110,14:55:54.87,0.87,0.604,0.116,0.932,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74111,14:55:54.91,0.87,0.592,0.332,0.984,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74112,14:55:54.95,0.87,0.488,0.356,0.904,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74113,14:55:54.99,0.87,0.408,0.084,0.956,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,74114,14:55:55.04,0.87,0.388,-0.164,0.916,moving,Travelling,land,land,
