"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.sitting",1,"1.Resting",46274,"2016-08-09 16:14:17",0.71,-0.052,0.452,0.986,"sitting","Resting","land","land","sitting",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46275,"2016-08-09 16:14:17",0.71,-0.075,0.464,0.952,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46276,"2016-08-09 16:14:17",0.71,-0.024,0.459,0.915,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46277,"2016-08-09 16:14:17",0.71,0.008,0.452,0.885,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46278,"2016-08-09 16:14:17",0.71,0.014,0.449,0.868,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46279,"2016-08-09 16:14:17",0.71,-0.016,0.393,0.802,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46280,"2016-08-09 16:14:17",0.71,-0.026,0.428,0.881,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46281,"2016-08-09 16:14:17",0.71,-0.019,0.408,0.925,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46282,"2016-08-09 16:14:17",0.71,-0.013,0.407,0.961,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46283,"2016-08-09 16:14:17",0.71,-0.015,0.363,0.846,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46284,"2016-08-09 16:14:17",0.71,0.016,0.388,0.841,"sitting","Resting","land","land","",2016-08-09 16:14:17
1,"1.sitting",1,"1.Resting",46285,"2016-08-09 16:14:17",0.71,0.048,0.422,0.874,"sitting","Resting","land","land","",2016-08-09 16:14:17
