"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.in",1,"1.Other","00:00:00.04","2016-08-09 07:44:25",1.31,0.144,-0.012,0.36,"in","Other","water","underwater","in",2016-08-09 07:44:25
1,"1.in",1,"1.Other","00:00:00.00","2016-08-09 07:44:25",1.31,-1.468,0.492,1.12,"in","Other","water","underwater","",2016-08-09 07:44:25
1,"1.in",1,"1.Other","43505","2016-08-09 07:44:25",1.31,-0.9,0.108,1.46,"in","Other","water","underwater","",2016-08-09 07:44:25
1,"1.in",1,"1.Other","43506","2016-08-09 07:44:25",1.31,-0.448,0.264,0.94,"in","Other","water","underwater","",2016-08-09 07:44:25
1,"1.in",1,"1.Other","43507","2016-08-09 07:44:25",1.34,-0.856,0.528,0.912,"in","Other","water","underwater","",2016-08-09 07:44:25
1,"1.in",1,"1.Other","43508","2016-08-09 07:44:25",1.31,-0.572,0.24,1.072,"in","Other","water","underwater","",2016-08-09 07:44:25
1,"1.in",1,"1.Other","43509","2016-08-09 07:44:26",1.31,-0.308,0.26,0.948,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43510","2016-08-09 07:44:26",1.31,-0.148,0.192,1.184,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43511","2016-08-09 07:44:26",1.31,-0.16,0.124,1.1,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43512","2016-08-09 07:44:26",1.31,-0.176,0.192,1.116,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43513","2016-08-09 07:44:26",1.31,0.408,-0.016,1.444,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43514","2016-08-09 07:44:26",1.34,0.2,0.06,1.168,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43515","2016-08-09 07:44:26",1.18,0.376,0.276,1.42,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43516","2016-08-09 07:44:26",1.21,0.456,0.08,1.232,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43517","2016-08-09 07:44:26",1.18,0.556,0.072,1.144,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43518","2016-08-09 07:44:26",1.21,0.54,0.332,1.136,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43519","2016-08-09 07:44:26",1.21,0.56,0.12,1.008,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43520","2016-08-09 07:44:26",1.21,0.62,0.02,0.944,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43521","2016-08-09 07:44:26",1.18,0.644,-0.116,0.928,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43522","2016-08-09 07:44:26",1.21,0.644,-0.096,0.876,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43523","2016-08-09 07:44:26",1.21,0.692,-0.22,0.844,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43524","2016-08-09 07:44:26",1.18,0.756,-0.252,0.776,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43525","2016-08-09 07:44:26",1.21,0.816,-0.24,0.656,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43526","2016-08-09 07:44:26",1.21,0.776,-0.224,0.648,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.in",1,"1.Other","43527","2016-08-09 07:44:26",1.21,0.908,-0.232,0.536,"in","Other","water","underwater","",2016-08-09 07:44:26
1,"1.still",2,"2.Resting","43528","2016-08-09 07:44:26",1.21,0.956,-0.364,0.452,"still","Resting","water","underwater","still",2016-08-09 07:44:26
1,"1.still",2,"2.Resting","43529","2016-08-09 07:44:26",1.21,0.968,-0.304,0.32,"still","Resting","water","underwater","",2016-08-09 07:44:26
1,"1.still",2,"2.Resting","43530","2016-08-09 07:44:26",1.21,0.844,-0.276,0.4,"still","Resting","water","underwater","",2016-08-09 07:44:26
1,"1.still",2,"2.Resting","43531","2016-08-09 07:44:26",1.12,0.812,-0.252,0.328,"still","Resting","water","underwater","",2016-08-09 07:44:26
1,"1.still",2,"2.Resting","43532","2016-08-09 07:44:26",1.12,0.776,-0.224,0.38,"still","Resting","water","underwater","",2016-08-09 07:44:26
1,"1.still",2,"2.Resting","43533","2016-08-09 07:44:27",1.21,0.764,-0.216,0.524,"still","Resting","water","underwater","",2016-08-09 07:44:27
1,"1.still",2,"2.Resting","43534","2016-08-09 07:44:27",1.21,0.72,-0.268,0.476,"still","Resting","water","underwater","",2016-08-09 07:44:27
1,"1.still",2,"2.Resting","43535","2016-08-09 07:44:27",1.25,0.62,-0.212,0.572,"still","Resting","water","underwater","",2016-08-09 07:44:27
