number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw
1,1.playing,1,1.Other,00:00.0,9/08/2016 16:25,4.62,0.2,1.34,0.356,playing,Other,water,underwater,playing
1,1.playing,1,1.Other,00:00.0,9/08/2016 16:25,4.62,0.372,1.48,0.532,playing,Other,water,underwater,
1,1.playing,1,1.Other,24920,9/08/2016 16:25,4.65,0.876,1.244,0.92,playing,Other,water,underwater,
1,1.playing,1,1.Other,24921,9/08/2016 16:25,4.62,1.016,0.728,0.748,playing,Other,water,underwater,
1,1.playing,1,1.Other,24922,9/08/2016 16:25,4.68,1.168,0.952,1.208,playing,Other,water,underwater,
1,1.playing,1,1.Other,24923,9/08/2016 16:25,4.59,0.836,0.632,1.228,playing,Other,water,underwater,
1,1.playing,1,1.Other,24924,9/08/2016 16:25,4.53,0.632,0.084,0.924,playing,Other,water,underwater,
1,1.playing,1,1.Other,24925,9/08/2016 16:25,4.43,0.312,0.18,0.92,playing,Other,water,underwater,
1,1.playing,1,1.Other,24926,9/08/2016 16:25,4.37,-0.136,0.224,0.468,playing,Other,water,underwater,
1,1.playing,1,1.Other,24927,9/08/2016 16:25,4.34,-0.064,0.644,-0.14,playing,Other,water,underwater,
1,1.playing,1,1.Other,24928,9/08/2016 16:25,4.34,0.14,1.104,-0.16,playing,Other,water,underwater,
1,1.playing,1,1.Other,24929,9/08/2016 16:25,4.31,-0.02,1.232,-0.28,playing,Other,water,underwater,
1,1.playing,1,1.Other,24930,9/08/2016 16:25,4.28,-0.084,1.276,-0.38,playing,Other,water,underwater,
1,1.playing,1,1.Other,24931,9/08/2016 16:25,4.28,0.096,0.88,-0.228,playing,Other,water,underwater,
1,1.playing,1,1.Other,24932,9/08/2016 16:25,4.37,0.144,1.012,-0.068,playing,Other,water,underwater,
1,1.playing,1,1.Other,24933,9/08/2016 16:25,4.34,0.344,1.112,0.024,playing,Other,water,underwater,
1,1.playing,1,1.Other,24934,9/08/2016 16:25,4.4,0.38,1.284,0.428,playing,Other,water,underwater,
1,1.playing,1,1.Other,24935,9/08/2016 16:25,4.34,0.596,1.452,0.58,playing,Other,water,underwater,
