"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.moving",1,"1.Travelling","00:00:00.04","2016-08-09 07:45:19",0.53,1.532,0.9,0.516,"moving","Travelling","land","land","moving",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","00:00:00.00","2016-08-09 07:45:19",0.53,0.948,0.892,0.516,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33178","2016-08-09 07:45:19",0.5,0.124,1.1,0.416,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33179","2016-08-09 07:45:19",0.53,-0.204,0.412,0.74,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33180","2016-08-09 07:45:19",0.53,-0.12,0.9,1.14,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33181","2016-08-09 07:45:19",0.53,0.26,0.744,1.1,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33182","2016-08-09 07:45:19",0.53,0.12,0.128,0.74,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33183","2016-08-09 07:45:19",0.53,-0.08,-0.924,0.376,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33184","2016-08-09 07:45:19",0.53,0.052,-1.096,0.064,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33185","2016-08-09 07:45:19",0.53,0.46,-0.616,-0.308,"moving","Travelling","land","land","",2016-08-09 07:45:19
1,"1.moving",1,"1.Travelling","33186","2016-08-09 07:45:20",0.53,0.788,-0.308,-0.164,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33187","2016-08-09 07:45:20",0.53,0.956,0.608,0.976,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33188","2016-08-09 07:45:20",0.53,1.016,1.36,0.936,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33189","2016-08-09 07:45:20",0.53,0.884,0.964,0.892,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33190","2016-08-09 07:45:20",0.53,0.592,0.484,0.864,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33191","2016-08-09 07:45:20",0.53,0.476,0.16,0.824,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33192","2016-08-09 07:45:20",0.53,0.484,0.132,0.78,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33193","2016-08-09 07:45:20",0.53,0.44,0.192,0.728,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33194","2016-08-09 07:45:20",0.53,0.48,0.208,0.724,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33195","2016-08-09 07:45:20",0.53,0.568,0.22,0.732,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33196","2016-08-09 07:45:20",0.53,0.532,0.168,0.688,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33197","2016-08-09 07:45:20",0.53,0.584,0.044,0.616,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33198","2016-08-09 07:45:20",0.53,0.612,-0.176,0.524,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33199","2016-08-09 07:45:20",0.53,0.54,-0.548,0.556,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33200","2016-08-09 07:45:20",0.53,0.58,-0.596,0.524,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33201","2016-08-09 07:45:20",0.53,0.804,-0.48,0.78,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.moving",1,"1.Travelling","33202","2016-08-09 07:45:20",0.53,0.916,-0.144,0.636,"moving","Travelling","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33203","2016-08-09 07:45:20",0.53,0.84,-0.052,0.632,"sitting","Resting","land","land","sitting",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33204","2016-08-09 07:45:20",0.53,0.796,0.016,0.536,"sitting","Resting","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33205","2016-08-09 07:45:20",0.53,0.788,0.228,0.48,"sitting","Resting","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33206","2016-08-09 07:45:20",0.53,0.836,0.36,0.408,"sitting","Resting","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33207","2016-08-09 07:45:20",0.53,0.844,0.176,0.48,"sitting","Resting","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33208","2016-08-09 07:45:20",0.53,0.868,0.08,0.516,"sitting","Resting","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33209","2016-08-09 07:45:20",0.53,0.876,0.056,0.508,"sitting","Resting","land","land","",2016-08-09 07:45:20
1,"1.sitting",2,"2.Resting","33210","2016-08-09 07:45:21",0.53,0.864,0.048,0.496,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33211","2016-08-09 07:45:21",0.53,0.84,0.048,0.472,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33212","2016-08-09 07:45:21",0.53,0.828,0.048,0.472,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33213","2016-08-09 07:45:21",0.53,0.832,0.044,0.48,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33214","2016-08-09 07:45:21",0.53,0.836,0.036,0.492,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33215","2016-08-09 07:45:21",0.53,0.848,0.036,0.496,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33216","2016-08-09 07:45:21",0.53,0.852,0.044,0.476,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33217","2016-08-09 07:45:21",0.53,0.844,0.04,0.46,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33218","2016-08-09 07:45:21",0.53,0.856,0.028,0.456,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33219","2016-08-09 07:45:21",0.53,0.852,0.024,0.456,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33220","2016-08-09 07:45:21",0.53,0.88,0.024,0.456,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33221","2016-08-09 07:45:21",0.53,0.888,0.008,0.444,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33222","2016-08-09 07:45:21",0.53,0.884,0.004,0.456,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.sitting",2,"2.Resting","33223","2016-08-09 07:45:21",0.53,0.88,0.008,0.444,"sitting","Resting","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33224","2016-08-09 07:45:21",0.53,0.88,0.02,0.444,"other","Other","land","land","other",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33225","2016-08-09 07:45:21",0.53,0.888,0.048,0.44,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33226","2016-08-09 07:45:21",0.53,0.896,0.06,0.412,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33227","2016-08-09 07:45:21",0.53,0.9,0.052,0.412,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33228","2016-08-09 07:45:21",0.53,0.912,0.032,0.404,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33229","2016-08-09 07:45:21",0.53,0.92,0.048,0.416,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33230","2016-08-09 07:45:21",0.53,0.924,0.068,0.42,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33231","2016-08-09 07:45:21",0.53,0.944,0.076,0.38,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33232","2016-08-09 07:45:21",0.53,0.944,0.084,0.36,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33233","2016-08-09 07:45:21",0.53,0.908,0.072,0.388,"other","Other","land","land","",2016-08-09 07:45:21
1,"1.other",3,"3.Other","33234","2016-08-09 07:45:22",0.53,0.872,0.092,0.436,"other","Other","land","land","",2016-08-09 07:45:22
