land.Foraging,land.Grooming,land.Resting,land.Travelling,surface.Foraging,surface.Grooming,surface.Resting,surface.Travelling,underwater.Foraging,underwater.Grooming,underwater.Resting,underwater.Travelling,TOTAL (L),KJ,MJ
0.014937759,0.118672199,0.253941909,0.014937759,0.122821577,0.148547718,0.021576763,0.11120332,0.141078838,0.013278008,0.026556017,0.012448133,1356.474761,28391.01675,28.39101675
0.023329799,0.158006363,0.274655355,0.069989396,0.073170732,0.154825027,0.039236479,0.065747614,0.069989396,0.009544008,0.015906681,0.045599152,1388.327103,29057.68626,29.05768626
0.052919708,0.092153285,0.233576642,0.025547445,0.097627737,0.13229927,0.047445255,0.115875912,0.156934307,0.012773723,0.011861314,0.020985401,1525.428883,31927.22653,31.92722653
0.012237762,0.053321678,0.410839161,0.02534965,0.075174825,0.122377622,0.118881119,0.09527972,0.04020979,0.009615385,0.001748252,0.034965035,1157.931188,24235.49976,24.23549976
0.031353135,0.112211221,0.344059406,0.043729373,0.138613861,0.054455446,0.109735974,0.072607261,0.048679868,0.005775578,0.010726073,0.028052805,1314.108424,27504.28931,27.50428931
0.06323185,0.074941452,0.287275566,0.030444965,0.048399688,0.104605777,0.143637783,0.113192818,0.045277127,0.003903201,0.028883685,0.056206089,1372.788856,28732.47076,28.73247076
0.06227758,0.104092527,0.351423488,0.041814947,0.120106762,0.078291815,0.073843416,0.083629893,0.040925267,0.004448399,0.024021352,0.015124555,1389.470489,29081.61734,29.08161734
0.086290323,0.120967742,0.297580645,0.046774194,0.058870968,0.066935484,0.142741935,0.066935484,0.07016129,0.016129032,0.010483871,0.016129032,1415.041417,29616.81686,29.61681686
0.018461538,0.069230769,0.348461538,0.050769231,0.110769231,0.113846154,0.050769231,0.033076923,0.131538462,0.011538462,0.002307692,0.059230769,1397.452766,29248.68639,29.24868639
0.099378882,0.078083407,0.240461402,0.05501331,0.047914818,0.070984916,0.085181899,0.143744454,0.109139308,0.011535049,0.003549246,0.05501331,1706.487125,35716.77553,35.71677553
0.080291971,0.132197891,0.373073804,0.03081914,0.02838605,0.100567721,0.090024331,0.054339011,0.02595296,0.00892133,0.03163017,0.04379562,1268.295125,26545.41696,26.54541696
0.036166365,0.051537071,0.427667269,0.054249548,0.068716094,0.113924051,0.059674503,0.105786618,0.037070524,0.007233273,0.023508137,0.014466546,1311.721296,27454.32672,27.45432672
0.026256564,0.069017254,0.325581395,0.018004501,0.128282071,0.112528132,0.08252063,0.115528882,0.069017254,0.00300075,0.015753938,0.034508627,1326.776283,27769.4276,27.7694276
0.080231596,0.052109181,0.260545906,0.054590571,0.121588089,0.100082713,0.152191894,0.078577337,0.052936311,0.003308519,0.016542597,0.027295285,1542.117962,32276.52894,32.27652894
0.073593074,0.129004329,0.313419913,0.01991342,0.029437229,0.10995671,0.083116883,0.126406926,0.058874459,0.012987013,0.018181818,0.025108225,1340.833632,28063.64793,28.06364793
0.077554064,0.094705444,0.359433259,0.036539896,0.082774049,0.073079791,0.068605518,0.085756898,0.090231171,0.012677107,0.000745712,0.017897092,1447.00022,30285.71461,30.28571461
0.086690018,0.151488616,0.351138354,0.021015762,0.091943958,0.056917688,0.024518389,0.096322242,0.031523643,0.006129597,0.030647986,0.051663748,1407.062288,29449.8137,29.4498137
