Behaviour,TypOld,Type
LAND,,
lying,Resting,resting
sitting,Resting,resting
scratch,Grooming,grooming
rubbing,Grooming,grooming
moving,Travelling,travelling
shake,Grooming,high_freq
polarbear,Foraging,feeding
UNDERWATER,,
stationary,Resting,resting
swimming,Travelling,travelling
scavenging,Foraging,foraging
foraging,Foraging,foraging
thrash,Foraging,thrash
playing,Other,other
,,
SURFACE,,
Non-foraging behaviours,,
still,Resting,resting
slow,Travelling,travelling
sailing,Grooming,resting
jugging,Grooming,resting
facerub,Grooming,grooming
grooming,Grooming,grooming
fast,Travelling,travelling
jump,Other,other
bowing,Travelling,travelling
shaking,Grooming,shake
Foraging behaviours,,
chewing,Foraging,feeding
manipulation,Foraging,feeding
thrash,Foraging,high_freq
holdntear,Foraging,feeding
feeding,Foraging,feeding
More,,
other,Other,other
in,Other,other
out,Other,other
eating,Foraging,other
